lineup_num,points_avg,points_ceil,points_floor,name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,salary_remaining
1,148.59999752044678,148.59999752044678,148.59999752044678,Mike Evans,8100.0,WR,TB,CAR,2.506172745316117,2.506172745316117,2.506172745316117,20.299999237060547,20.299999237060547,20.299999237060547,200.0
1,148.59999752044678,148.59999752044678,148.59999752044678,Ryan Fitzpatrick,5500.0,QB,TB,CAR,4.090909090909091,4.090909090909091,4.090909090909091,22.5,22.5,22.5,200.0
1,148.59999752044678,148.59999752044678,148.59999752044678,Phillip Lindsay,5500.0,RB,DEN,HOU,2.272727272727273,2.272727272727273,2.272727272727273,12.5,12.5,12.5,200.0
1,148.59999752044678,148.59999752044678,148.59999752044678,Broncos,2300.0,DST,DEN,HOU,3.6521737471870757,3.6521737471870757,3.6521737471870757,8.399999618530273,8.399999618530273,8.399999618530273,200.0
1,148.59999752044678,148.59999752044678,148.59999752044678,Corey Davis,4800.0,WR,TEN,DAL,2.854166626930237,2.854166626930237,2.854166626930237,13.699999809265137,13.699999809265137,13.699999809265137,200.0
1,148.59999752044678,148.59999752044678,148.59999752044678,Rob Gronkowski,6300.0,TE,NE,GB,2.7777777777777777,2.7777777777777777,2.7777777777777777,17.5,17.5,17.5,200.0
1,148.59999752044678,148.59999752044678,148.59999752044678,Lamar Miller,5200.0,RB,HOU,DEN,3.3269229302039514,3.3269229302039514,3.3269229302039514,17.299999237060547,17.299999237060547,17.299999237060547,200.0
1,148.59999752044678,148.59999752044678,148.59999752044678,Isaiah Crowell,4200.0,RB,NYJ,MIA,3.547618956792922,3.547618956792922,3.547618956792922,14.899999618530273,14.899999618530273,14.899999618530273,200.0
1,148.59999752044678,148.59999752044678,148.59999752044678,Julio Jones,7900.0,WR,ATL,WAS,2.721518987341772,2.721518987341772,2.721518987341772,21.5,21.5,21.5,200.0
,,,,,,,,,,,,,,,
2,148.59999752044678,148.59999752044678,148.59999752044678,Mike Evans,8100.0,WR,TB,CAR,2.506172745316117,2.506172745316117,2.506172745316117,20.299999237060547,20.299999237060547,20.299999237060547,100.0
2,148.59999752044678,148.59999752044678,148.59999752044678,Ryan Fitzpatrick,5500.0,QB,TB,CAR,4.090909090909091,4.090909090909091,4.090909090909091,22.5,22.5,22.5,100.0
2,148.59999752044678,148.59999752044678,148.59999752044678,Phillip Lindsay,5500.0,RB,DEN,HOU,2.272727272727273,2.272727272727273,2.272727272727273,12.5,12.5,12.5,100.0
2,148.59999752044678,148.59999752044678,148.59999752044678,Broncos,2300.0,DST,DEN,HOU,3.6521737471870757,3.6521737471870757,3.6521737471870757,8.399999618530273,8.399999618530273,8.399999618530273,100.0
2,148.59999752044678,148.59999752044678,148.59999752044678,Alvin Kamara,7300.0,RB,NO,LAR,3.123287566720623,3.123287566720623,3.123287566720623,22.799999237060547,22.799999237060547,22.799999237060547,100.0
2,148.59999752044678,148.59999752044678,148.59999752044678,Isaiah Crowell,4200.0,RB,NYJ,MIA,3.547618956792922,3.547618956792922,3.547618956792922,14.899999618530273,14.899999618530273,14.899999618530273,100.0
2,148.59999752044678,148.59999752044678,148.59999752044678,Julio Jones,7900.0,WR,ATL,WAS,2.721518987341772,2.721518987341772,2.721518987341772,21.5,21.5,21.5,100.0
2,148.59999752044678,148.59999752044678,148.59999752044678,Austin Hooper,3800.0,TE,ATL,WAS,2.84210531335128,2.84210531335128,2.84210531335128,10.800000190734863,10.800000190734863,10.800000190734863,100.0
2,148.59999752044678,148.59999752044678,148.59999752044678,Marvin Jones,5300.0,WR,DET,MIN,2.8113206827415613,2.8113206827415613,2.8113206827415613,14.899999618530273,14.899999618530273,14.899999618530273,100.0
,,,,,,,,,,,,,,,
3,148.39999771118164,148.39999771118164,148.39999771118164,Mike Evans,8100.0,WR,TB,CAR,2.506172745316117,2.506172745316117,2.506172745316117,20.299999237060547,20.299999237060547,20.299999237060547,0.0
3,148.39999771118164,148.39999771118164,148.39999771118164,Ryan Fitzpatrick,5500.0,QB,TB,CAR,4.090909090909091,4.090909090909091,4.090909090909091,22.5,22.5,22.5,0.0
3,148.39999771118164,148.39999771118164,148.39999771118164,Phillip Lindsay,5500.0,RB,DEN,HOU,2.272727272727273,2.272727272727273,2.272727272727273,12.5,12.5,12.5,0.0
3,148.39999771118164,148.39999771118164,148.39999771118164,Broncos,2300.0,DST,DEN,HOU,3.6521737471870757,3.6521737471870757,3.6521737471870757,8.399999618530273,8.399999618530273,8.399999618530273,0.0
3,148.39999771118164,148.39999771118164,148.39999771118164,Corey Davis,4800.0,WR,TEN,DAL,2.854166626930237,2.854166626930237,2.854166626930237,13.699999809265137,13.699999809265137,13.699999809265137,0.0
3,148.39999771118164,148.39999771118164,148.39999771118164,Rob Gronkowski,6300.0,TE,NE,GB,2.7777777777777777,2.7777777777777777,2.7777777777777777,17.5,17.5,17.5,0.0
3,148.39999771118164,148.39999771118164,148.39999771118164,Isaiah Crowell,4200.0,RB,NYJ,MIA,3.547618956792922,3.547618956792922,3.547618956792922,14.899999618530273,14.899999618530273,14.899999618530273,0.0
3,148.39999771118164,148.39999771118164,148.39999771118164,Adam Thielen,8900.0,WR,MIN,DET,2.730336992928151,2.730336992928151,2.730336992928151,24.299999237060547,24.299999237060547,24.299999237060547,0.0
3,148.39999771118164,148.39999771118164,148.39999771118164,Aaron Jones,4400.0,RB,GB,NE,3.250000043348832,3.250000043348832,3.250000043348832,14.300000190734863,14.300000190734863,14.300000190734863,0.0
,,,,,,,,,,,,,,,
