lineup_num,points_avg,points_ceil,points_floor,name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,salary_remaining
1,89.35000038146973,89.35000038146973,89.35000038146973,Frank Gore,5400.0,RB,MIA,HOU,2.0833333333333335,2.0833333333333335,2.0833333333333335,11.25,11.25,11.25,400.0
1,89.35000038146973,89.35000038146973,89.35000038146973,Dolphins,2800.0,DST,MIA,HOU,3.035714285714286,3.035714285714286,3.035714285714286,8.5,8.5,8.5,400.0
1,89.35000038146973,89.35000038146973,89.35000038146973,Lamar Miller,7600.0,RB,HOU,MIA,1.986842155456543,1.986842155456543,1.986842155456543,15.100000381469727,15.100000381469727,15.100000381469727,400.0
1,89.35000038146973,89.35000038146973,89.35000038146973,Deshaun Watson,11600.0,QB,HOU,MIA,1.767241379310345,1.767241379310345,1.767241379310345,20.5,20.5,20.5,400.0
1,89.35000038146973,89.35000038146973,89.35000038146973,DeAndre Hopkins,12000.0,WR,HOU,MIA,1.7083333333333333,1.7083333333333333,1.7083333333333333,20.5,20.5,20.5,400.0
1,89.35000038146973,89.35000038146973,89.35000038146973,Will Fuller V,10200.0,WR,HOU,MIA,1.323529411764706,1.323529411764706,1.323529411764706,13.5,13.5,13.5,400.0
,,,,,,,,,,,,,,,
2,88.65000057220459,88.65000057220459,88.65000057220459,Frank Gore,5400.0,RB,MIA,HOU,2.0833333333333335,2.0833333333333335,2.0833333333333335,11.25,11.25,11.25,2400.0
2,88.65000057220459,88.65000057220459,88.65000057220459,Dolphins,2800.0,DST,MIA,HOU,3.035714285714286,3.035714285714286,3.035714285714286,8.5,8.5,8.5,2400.0
2,88.65000057220459,88.65000057220459,88.65000057220459,Lamar Miller,7600.0,RB,HOU,MIA,1.986842155456543,1.986842155456543,1.986842155456543,15.100000381469727,15.100000381469727,15.100000381469727,2400.0
2,88.65000057220459,88.65000057220459,88.65000057220459,Deshaun Watson,11600.0,QB,HOU,MIA,1.767241379310345,1.767241379310345,1.767241379310345,20.5,20.5,20.5,2400.0
2,88.65000057220459,88.65000057220459,88.65000057220459,DeAndre Hopkins,12000.0,WR,HOU,MIA,1.7083333333333333,1.7083333333333333,1.7083333333333333,20.5,20.5,20.5,2400.0
2,88.65000057220459,88.65000057220459,88.65000057220459,Brock Osweiler,8200.0,QB,MIA,HOU,1.5609756330164468,1.5609756330164468,1.5609756330164468,12.800000190734863,12.800000190734863,12.800000190734863,2400.0
,,,,,,,,,,,,,,,
3,88.45000076293945,88.45000076293945,88.45000076293945,Frank Gore,5400.0,RB,MIA,HOU,2.0833333333333335,2.0833333333333335,2.0833333333333335,11.25,11.25,11.25,1400.0
3,88.45000076293945,88.45000076293945,88.45000076293945,Jakeem Grant,3800.0,WR,MIA,HOU,2.184210576509175,2.184210576509175,2.184210576509175,8.300000190734863,8.300000190734863,8.300000190734863,1400.0
3,88.45000076293945,88.45000076293945,88.45000076293945,Lamar Miller,7600.0,RB,HOU,MIA,1.986842155456543,1.986842155456543,1.986842155456543,15.100000381469727,15.100000381469727,15.100000381469727,1400.0
3,88.45000076293945,88.45000076293945,88.45000076293945,Deshaun Watson,11600.0,QB,HOU,MIA,1.767241379310345,1.767241379310345,1.767241379310345,20.5,20.5,20.5,1400.0
3,88.45000076293945,88.45000076293945,88.45000076293945,DeAndre Hopkins,12000.0,WR,HOU,MIA,1.7083333333333333,1.7083333333333333,1.7083333333333333,20.5,20.5,20.5,1400.0
3,88.45000076293945,88.45000076293945,88.45000076293945,Brock Osweiler,8200.0,QB,MIA,HOU,1.5609756330164468,1.5609756330164468,1.5609756330164468,12.800000190734863,12.800000190734863,12.800000190734863,1400.0
,,,,,,,,,,,,,,,
4,88.35000038146973,88.35000038146973,88.35000038146973,Frank Gore,5400.0,RB,MIA,HOU,2.0833333333333335,2.0833333333333335,2.0833333333333335,11.25,11.25,11.25,1800.0
4,88.35000038146973,88.35000038146973,88.35000038146973,DeVante Parker,3400.0,WR,MIA,HOU,2.411764649783864,2.411764649783864,2.411764649783864,8.199999809265137,8.199999809265137,8.199999809265137,1800.0
4,88.35000038146973,88.35000038146973,88.35000038146973,Lamar Miller,7600.0,RB,HOU,MIA,1.986842155456543,1.986842155456543,1.986842155456543,15.100000381469727,15.100000381469727,15.100000381469727,1800.0
4,88.35000038146973,88.35000038146973,88.35000038146973,Deshaun Watson,11600.0,QB,HOU,MIA,1.767241379310345,1.767241379310345,1.767241379310345,20.5,20.5,20.5,1800.0
4,88.35000038146973,88.35000038146973,88.35000038146973,DeAndre Hopkins,12000.0,WR,HOU,MIA,1.7083333333333333,1.7083333333333333,1.7083333333333333,20.5,20.5,20.5,1800.0
4,88.35000038146973,88.35000038146973,88.35000038146973,Brock Osweiler,8200.0,QB,MIA,HOU,1.5609756330164468,1.5609756330164468,1.5609756330164468,12.800000190734863,12.800000190734863,12.800000190734863,1800.0
,,,,,,,,,,,,,,,
5,87.85000038146973,87.85000038146973,87.85000038146973,Frank Gore,5400.0,RB,MIA,HOU,2.0833333333333335,2.0833333333333335,2.0833333333333335,11.25,11.25,11.25,1600.0
5,87.85000038146973,87.85000038146973,87.85000038146973,Alfred Blue,1600.0,RB,HOU,MIA,4.375,4.375,4.375,7.0,7.0,7.0,1600.0
5,87.85000038146973,87.85000038146973,87.85000038146973,Lamar Miller,7600.0,RB,HOU,MIA,1.986842155456543,1.986842155456543,1.986842155456543,15.100000381469727,15.100000381469727,15.100000381469727,1600.0
