Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Devin Leary (11463198),Devin Leary,11463198,QB/S-FLEX,4500,NCST@CLEM 10/20/2018 03:30PM ET,NCST,0
QB,Woody Cornwell (11463200),Woody Cornwell,11463200,QB/S-FLEX,4500,NCST@CLEM 10/20/2018 03:30PM ET,NCST,0
WR,Emeka Emezie (11463244),Emeka Emezie,11463244,WR/FLEX/S-FLEX,4500,NCST@CLEM 10/20/2018 03:30PM ET,NCST,14.6
QB,M.J. Rivers II (11462002),M.J. Rivers II,11462002,QB/S-FLEX,4500,IL@WISC 10/20/2018 12:00PM ET,IL,10.89
QB,Cam Miller (11462004),Cam Miller,11462004,QB/S-FLEX,4500,IL@WISC 10/20/2018 12:00PM ET,IL,0
QB,Drake Davis (11462006),Drake Davis,11462006,QB/S-FLEX,4500,IL@WISC 10/20/2018 12:00PM ET,IL,0
QB,Coran Taylor (11462010),Coran Taylor,11462010,QB/S-FLEX,4500,IL@WISC 10/20/2018 12:00PM ET,IL,0
QB,Matt Robinson (11462012),Matt Robinson,11462012,QB/S-FLEX,4500,IL@WISC 10/20/2018 12:00PM ET,IL,0.61
QB,Danny Vanden Boom (11462100),Danny Vanden Boom,11462100,QB/S-FLEX,4500,IL@WISC 10/20/2018 12:00PM ET,WISC,4.12
QB,Chase Wolf (11462102),Chase Wolf,11462102,QB/S-FLEX,4500,IL@WISC 10/20/2018 12:00PM ET,WISC,0
QB,Nate Carter (11462104),Nate Carter,11462104,QB/S-FLEX,4500,IL@WISC 10/20/2018 12:00PM ET,WISC,0
QB,Jack Coan (11462106),Jack Coan,11462106,QB/S-FLEX,4500,IL@WISC 10/20/2018 12:00PM ET,WISC,0
RB,Taiwan Deal (11462111),Taiwan Deal,11462111,RB/FLEX/S-FLEX,4500,IL@WISC 10/20/2018 12:00PM ET,WISC,7.37
QB,Mike Fiacable (11463290),Mike Fiacable,11463290,QB/S-FLEX,4500,PSU@IU 10/20/2018 03:30PM ET,IU,1.7
QB,Reese Taylor (11463292),Reese Taylor,11463292,QB/S-FLEX,4500,PSU@IU 10/20/2018 03:30PM ET,IU,5.26
QB,Johnny Pabst (11463294),Johnny Pabst,11463294,QB/S-FLEX,4500,PSU@IU 10/20/2018 03:30PM ET,IU,0
QB,Will Levis (11463392),Will Levis,11463392,QB/S-FLEX,4500,PSU@IU 10/20/2018 03:30PM ET,PSU,0
QB,Grayson Kline (11463394),Grayson Kline,11463394,QB/S-FLEX,4500,PSU@IU 10/20/2018 03:30PM ET,PSU,0
QB,Michael Shuster (11463396),Michael Shuster,11463396,QB/S-FLEX,4500,PSU@IU 10/20/2018 03:30PM ET,PSU,0
QB,Michael Sessa (11462211),Michael Sessa,11462211,QB/S-FLEX,4500,MICH@MSU 10/20/2018 12:00PM ET,MICH,0
QB,Brandon Peters (11462213),Brandon Peters,11462213,QB/S-FLEX,4500,MICH@MSU 10/20/2018 12:00PM ET,MICH,-1
QB,Joe MIlton (11462215),Joe MIlton,11462215,QB/S-FLEX,4500,MICH@MSU 10/20/2018 12:00PM ET,MICH,2.2
QB,Max Wittwer (11462217),Max Wittwer,11462217,QB/S-FLEX,4500,MICH@MSU 10/20/2018 12:00PM ET,MICH,0
QB,Theo Day (11462358),Theo Day,11462358,QB/S-FLEX,4500,MICH@MSU 10/20/2018 12:00PM ET,MSU,0
QB,Mickey Macius (11462360),Mickey Macius,11462360,QB/S-FLEX,4500,MICH@MSU 10/20/2018 12:00PM ET,MSU,0
RB,LJ Scott (11462365),LJ Scott,11462365,RB/FLEX/S-FLEX,4500,MICH@MSU 10/20/2018 12:00PM ET,MSU,11.3
WR,Jaylen Waddle (11462618),Jaylen Waddle,11462618,WR/FLEX/S-FLEX,4400,BAMA@TENN 10/20/2018 03:30PM ET,BAMA,10.29
RB,Patrick Taylor Jr. (11463599),Patrick Taylor Jr.,11463599,RB/FLEX/S-FLEX,4400,MEM@MIZZ 10/20/2018 04:00PM ET,MEM,14.49
RB,Sean McGrew (11462803),Sean McGrew,11462803,RB/FLEX/S-FLEX,4400,COL@UW 10/20/2018 03:30PM ET,UW,3.93
WR,Hunter Renfrow (11463127),Hunter Renfrow,11463127,WR/FLEX/S-FLEX,4400,NCST@CLEM 10/20/2018 03:30PM ET,CLEM,7.53
RB,Reggie Corbin (11462017),Reggie Corbin,11462017,RB/FLEX/S-FLEX,4400,IL@WISC 10/20/2018 12:00PM ET,IL,16.23
WR,Jake Ferguson (11462156),Jake Ferguson,11462156,WR/FLEX/S-FLEX,4400,IL@WISC 10/20/2018 12:00PM ET,WISC,9.32
RB,Mike Epstein (11462014),Mike Epstein,11462014,RB/FLEX/S-FLEX,4300,IL@WISC 10/20/2018 12:00PM ET,IL,13.72
WR,J-Shun Harris II (11463335),J-Shun Harris II,11463335,WR/FLEX/S-FLEX,4300,PSU@IU 10/20/2018 03:30PM ET,IU,8.67
RB,Ty Chandler (11462477),Ty Chandler,11462477,RB/FLEX/S-FLEX,4200,BAMA@TENN 10/20/2018 03:30PM ET,TENN,14.24
WR,Elijah Moore (11461711),Elijah Moore,11461711,WR/FLEX/S-FLEX,4200,AUB@MISS 10/20/2018 12:00PM ET,MISS,6.45
WR,Pop Williams (11463623),Pop Williams,11463623,WR/FLEX/S-FLEX,4200,MEM@MIZZ 10/20/2018 04:00PM ET,MEM,7.33
WR,Kerr Johnson Jr. (11462936),Kerr Johnson Jr.,11462936,WR/FLEX/S-FLEX,4200,KU@TTU 10/20/2018 03:30PM ET,KU,9.65
RB,Da'Leon Ward (11463008),Da'Leon Ward,11463008,RB/FLEX/S-FLEX,4200,KU@TTU 10/20/2018 03:30PM ET,TTU,9.5
WR,KeSean Carter (11463044),KeSean Carter,11463044,WR/FLEX/S-FLEX,4200,KU@TTU 10/20/2018 03:30PM ET,TTU,9.5
WR,Whop Philyor (11463329),Whop Philyor,11463329,WR/FLEX/S-FLEX,4200,PSU@IU 10/20/2018 03:30PM ET,IU,17.2
WR,Zach Gentry (11462279),Zach Gentry,11462279,WR/FLEX/S-FLEX,4200,MICH@MSU 10/20/2018 12:00PM ET,MICH,8.73
