Rnk,Name,Team,Pos,Bye,Game,Pts,Sal
85,Russell Wilson,SEA,qb,7,LAC,20.9,"$5,900 "
94,Javorius Allen,BLT,rb,10,PIT,8.7,"$3,800 "
88,Demaryius Thomas,HST,wr,10,@DEN,11.3,"$4,500 "
89,Amari Cooper,DAL,wr,8,TEN,11.2,"$4,600 "
90,Jordy Nelson,OAK,wr,7,@SF,11.1,"$4,600 "
91,Tre'Quan Smith,NO,wr,6,LAR,11,"$4,200 "
98,Mike Davis,SEA,rb,7,LAC,8.2,"$3,400 "
99,Derrick Henry,TEN,rb,8,@DAL,8.1,"$4,000 "
92,Willie Snead IV,BLT,wr,10,PIT,10.7,"$4,200 "
101,Calvin Ridley,ATL,wr,8,@WAS,10.6,"$5,700 "
103,D.J. Moore,CAR,wr,4,TB,10.6,"$4,300 "
102,Danny Amendola,MIA,wr,11,NYJ,10.6,"$4,700 "
104,John Brown,BLT,wr,10,PIT,10.5,"$5,800 "
105,Quincy Enunwa,NYJ,wr,11,@MIA,10.3,"$4,000 "
110,Vance McDonald,PIT,te,7,@BLT,7.4,"$3,700 "
106,Mohamed Sanu,ATL,wr,8,@WAS,10.2,"$5,100 "
100,Deshaun Watson,HST,qb,10,@DEN,19.6,"$6,300 "
107,Marquise Goodwin,SF,wr,11,OAK,10.1,"$5,500 "
108,Robby Anderson,NYJ,wr,11,@MIA,10,"$4,300 "
111,Chris Ivory,BUF,rb,11,CHI,7.2,"$3,900 "
112,Frank Gore,MIA,rb,11,NYJ,7.2,"$3,500 "
113,Benjamin Watson,NO,te,6,LAR,7,"$3,200 "
109,Cole Beasley,DAL,wr,8,TEN,9.8,"$4,100 "
138,Charles Clay,BUF,te,11,CHI,6.7,"$2,700 "
122,Randall Cobb,GB,wr,7,@NE,9.5,"$4,600 "
137,Alfred Blue,HST,rb,10,@DEN,6.8,"$3,600 "
114,Alex Smith,WAS,qb,4,ATL,18.8,"$5,000 "
123,DeVante Parker,MIA,wr,11,NYJ,9.2,"$4,600 "
124,Antonio Callaway,CLV,wr,11,KC,9.1,"$4,200 "
115,Mitchell Trubisky,CHI,qb,5,@BUF,18.5,"$5,800 "
125,Taywan Taylor,TEN,wr,8,@DAL,8.8,"$3,600 "
141,Chris Herndon,NYJ,te,11,@MIA,5.9,"$3,000 "
119,Baker Mayfield,CLV,qb,11,KC,18.2,"$5,600 "
118,Dak Prescott,DAL,qb,8,TEN,18.2,"$5,100 "
116,Matthew Stafford,DET,qb,6,@MIN,18.2,"$5,600 "
117,Ben Roethlisberger,PIT,qb,7,@BLT,18.2,"$5,700 "
126,Kelvin Benjamin,BUF,wr,11,CHI,8.7,"$3,500 "
127,Kenny Stills,MIA,wr,11,NYJ,8.7,"$4,300 "
128,Tyrell Williams,LAC,wr,8,@SEA,8.7,"$4,200 "
140,Mike Boone,MIN,rb,10,DET,6,"$3,000 "
139,Kyle Juszczyk,SF,rb,11,OAK,6,"$3,300 "
143,Geoff Swaim,DAL,te,8,TEN,5.8,"$2,800 "
142,Gerald Everett,LAR,te,12,@NO,5.8,"$2,600 "
120,Philip Rivers,LAC,qb,8,@SEA,18.1,"$5,600 "
145,Hayden Hurst,BLT,te,10,PIT,5.6,"$2,600 "
144,Jeff Heuerman,DEN,te,10,HST,5.6,"$2,600 "
146,Nick Boyle,BLT,te,10,PIT,5.5,"$2,500 "
130,Rashard Higgins,CLV,wr,11,KC,8.3,"$3,700 "
129,Mike Williams,LAC,wr,8,@SEA,8.3,"$3,800 "
147,Nick Vannett,SEA,te,7,LAC,5.4,"$2,700 "
121,Joe Flacco,BLT,qb,10,PIT,17.7,"$5,300 "
131,David Moore,SEA,wr,7,LAC,8.1,"$3,900 "
132,Josh Doctson,WAS,wr,4,ATL,8.1,"$4,200 "
133,Chris Godwin,TB,wr,5,@CAR,8,"$4,400 "
134,Brandon LaFell,OAK,wr,7,@SF,7.9,"$3,800 "
135,Anthony Miller,CHI,wr,5,@BUF,7.8,"$3,700 "
148,Antonio Gates,LAC,te,8,@SEA,4.9,"$2,700 "
136,DaeSean Hamilton,DEN,wr,10,HST,7.7,"$3,000 "
162,Mark Andrews,BLT,te,10,PIT,4.8,"$2,600 "
160,Ty Montgomery,BLT,rb,10,PIT,4.9,"$3,300 "
150,Geronimo Allison,GB,wr,7,@NE,7.5,"$4,600 "
151,Marquez Valdes-Scantling,GB,wr,7,@NE,7.5,"$4,700 "
152,Maurice Harris,WAS,wr,4,ATL,7.5,"$3,300 "
161,Devontae Booker,DEN,rb,10,HST,4.8,"$3,700 "
164,Vernon Davis,WAS,te,4,ATL,4.6,"$2,800 "
153,Pierre Garcon,SF,wr,11,OAK,7.4,"$4,300 "
154,Seth Roberts,OAK,wr,7,@SF,7.3,"$3,700 "
167,Michael Roberts,DET,te,6,@MIN,4.4,"$2,500 "
166,Mike Gesicki,MIA,te,11,NYJ,4.4,"$2,600 "
163,LeGarrette Blount,DET,rb,6,@MIN,4.6,"$3,400 "
155,Jakeem Grant,MIA,wr,11,NYJ,7.2,"$3,700 "
165,Jacquizz Rodgers,TB,rb,5,@CAR,4.5,"$3,000 "
149,Derek Carr,OAK,qb,7,@SF,16.6,"$5,400 "
157,Zay Jones,BUF,wr,11,CHI,7.1,"$3,400 "
156,Torrey Smith,CAR,wr,4,TB,7.1,"$3,500 "
158,Adam Humphries,TB,wr,5,@CAR,7,"$3,600 "
169,Jesse James,PIT,te,7,@BLT,4.1,"$2,700 "
168,Alfred Morris,SF,rb,11,OAK,4.2,"$3,500 "
172,Cameron Brate,TB,te,5,@CAR,3.9,"$2,600 "
171,Jonnu Smith,TEN,te,8,@DAL,3.9,"$2,500 "
170,C.J. Anderson,CAR,rb,4,TB,4.1,"$3,300 "
159,Jermaine Kearse,NYJ,wr,11,@MIA,6.7,"$4,200 "
174,T.J. Jones,DET,wr,6,@MIN,6.6,N/A
175,Laquon Treadwell,MIN,wr,10,DET,6.6,"$3,300 "
173,Case Keenum,DEN,qb,10,HST,16,"$4,900 "
176,Chris Hogan,NE,wr,11,GB,6.5,"$4,200 "
182,Raheem Mostert,SF,rb,11,OAK,3.8,"$3,900 "
183,Marcus Murphy,BUF,rb,11,CHI,3.7,"$3,300 "
184,Jason Croom,BUF,te,11,CHI,3.5,"$2,500 "
185,Neal Sterling,NYJ,te,11,@MIA,3.5,"$2,500 "
186,Matt LaCosse,DEN,te,10,HST,3.4,"$2,500 "
188,Ryan Griffin,HST,te,10,@DEN,3.4,"$2,500 "
178,Keke Coutee,HST,wr,10,@DEN,6.2,"$5,300 "
177,Tajae Sharpe,TEN,wr,8,@DAL,6.2,"$3,800 "
179,Michael Gallup,DAL,wr,8,TEN,6.1,"$3,700 "
189,Demetrius Harris,KC,te,12,@CLV,3.2,"$2,500 "
187,Spencer Ware,KC,rb,12,@CLV,3.4,"$4,000 "
180,Cordarrelle Patterson,NE,wr,11,GB,5.8,"$3,200 "
190,Rashaad Penny,SEA,rb,7,LAC,3.1,"$3,700 "
181,Andre Holmes,BUF,wr,11,CHI,5.7,"$3,100 "
196,Josh Hill,NO,te,6,LAR,2.8,"$2,600 "
191,Marcus Mariota,TEN,qb,8,@DAL,15.1,"$4,800 "
198,Jordan Thomas,HST,te,10,@DEN,2.7,"$2,900 "
199,Darren Fells,CLV,te,11,KC,2.6,"$2,500 "
195,Roc Thomas,MIN,rb,10,DET,2.8,"$3,000 "
197,DeAndre Washington,OAK,rb,7,@SF,2.7,"$3,300 "
202,Luke Willson,DET,te,6,@MIN,2.4,"$2,500 "
192,Brock Osweiler,MIA,qb,11,NYJ,14.7,"$4,900 "
200,C.J. Ham,MIN,rb,10,DET,2.5,"$3,000 "
201,Malcolm Brown,LAR,rb,12,@NO,2.5,"$4,200 "
203,Logan Paulsen,ATL,te,8,@WAS,2.3,"$2,500 "
204,Lance Kendricks,GB,te,7,@NE,2.1,"$2,500 "
205,Virgil Green,LAC,te,8,@SEA,2.1,"$2,500 "
207,Logan Thomas,BUF,te,11,CHI,2,"$2,500 "
193,Sam Darnold,NYJ,qb,11,@MIA,14.3,"$4,800 "
206,Kenjon Barner,NE,rb,11,GB,2.1,"$4,000 "
208,Luke Stocker,TEN,te,8,@DAL,1.9,"$2,500 "
194,Travis Benjamin,LAC,wr,8,@SEA,4.7,"$3,500 "
210,Chris Conley,KC,wr,12,@CLV,4.6,"$3,200 "
215,Rod Smith,DAL,rb,8,TEN,1.9,"$4,000 "
216,Blake Jarwin,DAL,te,8,TEN,1.7,"$2,500 "
217,Tyler Higbee,LAR,te,12,@NO,1.7,"$2,600 "
211,Trent Taylor,SF,wr,11,OAK,4.5,"$3,700 "
219,A.J. Derby,MIA,te,11,NYJ,1.6,"$2,500 "
218,James Develin,NE,rb,11,GB,1.7,"$3,000 "
220,Anthony Firkser,TEN,te,8,@DAL,1.5,"$2,500 "
222,Seth DeValve,CLV,te,11,KC,1.4,"$2,600 "
224,David Morgan,MIN,te,10,DET,1.4,"$2,500 "
223,Garrett Celek,SF,te,11,OAK,1.4,"$2,500 "
221,Stevan Ridley,PIT,rb,7,@BLT,1.5,"$3,800 "
225,Jordan Akins,HST,te,10,@DEN,1.3,"$2,500 "
226,Derek Carrier,OAK,te,7,@SF,1.3,"$2,500 "
228,Rico Gathers,DAL,te,8,TEN,1.2,"$2,500 "
227,Jordan Leggett,NYJ,te,11,@MIA,1.2,"$2,500 "
212,Rishard Matthews,NYJ,wr,11,@MIA,4,"$3,500 "
229,Shaun Wilson,TB,rb,5,@CAR,1.2,"$3,000 "
230,Dion Sims,CHI,te,5,@BUF,1,"$2,500 "
209,Nick Mullens,SF,qb,11,OAK,13.3,"$4,300 "
213,Chris Moore,BLT,wr,10,PIT,3.8,"$3,000 "
214,Allen Hurns,DAL,wr,8,TEN,3.8,"$3,400 "
242,Anthony Sherman,KC,rb,12,@CLV,1,"$3,000 "
233,Cameron Meredith,NO,wr,6,LAR,3.6,"$3,500 "
232,Darius Jennings,TEN,wr,8,@DAL,3.6,"$3,000 "
250,Eric Saubert,ATL,te,8,@WAS,0.7,"$2,500 "
248,Tyler Conklin,MIN,te,10,DET,0.7,"$2,500 "
247,Jacob Hollister,NE,te,11,GB,0.7,"$2,500 "
234,Justin Hunter,PIT,wr,7,@BLT,3.5,"$3,000 "
252,Ian Thomas,CAR,te,4,TB,0.6,"$2,500 "
254,Brian Parker,DEN,te,10,HST,0.6,"$2,500 "
255,Levine Toilolo,DET,te,6,@MIN,0.6,"$2,500 "
256,Nick O'Leary,MIA,te,11,NYJ,0.6,"$2,600 "
257,Durham Smythe,MIA,te,11,NYJ,0.6,"$2,500 "
258,Antony Auclair,TB,te,5,@CAR,0.6,"$2,500 "
246,Alex Armah,CAR,rb,4,TB,0.7,"$3,000 "
243,Benny Cunningham,CHI,rb,5,@BUF,0.7,"$3,200 "
244,Andy Janovich,DEN,rb,10,HST,0.7,"$3,000 "
245,Zach Line,NO,rb,6,LAR,0.7,"$3,000 "
249,Keith Smith,OAK,rb,7,@SF,0.7,"$3,000 "
261,Ben Braunecker,CHI,te,5,@BUF,0.5,"$2,500 "
262,Jeremy Sprinkle,WAS,te,4,ATL,0.5,"$2,500 "
263,Dan Arnold,NO,te,6,LAR,0.4,"$2,500 "
251,Kalen Ballage,MIA,rb,11,NYJ,0.6,"$3,200 "
253,Tre Madden,SEA,rb,7,LAC,0.6,"$3,000 "
237,Jarius Wright,CAR,wr,4,TB,3.2,"$3,300 "
236,Brandon Powell,DET,wr,6,@MIN,3.2,"$3,000 "
235,Ryan Switzer,PIT,wr,7,@BLT,3.2,"$3,100 "
260,Roosevelt Nix,PIT,rb,7,@BLT,0.5,"$3,000 "
259,Kapri Bibbs,WAS,rb,4,ATL,0.5,"$3,500 "
238,Curtis Samuel,CAR,wr,4,TB,3,"$3,500 "
