Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Chris Conley (11445353),Chris Conley,11445353,FLEX,2000,KC@NE 10/14/2018 08:20PM ET,KC,5.98
DST,Chiefs  (11445354),Chiefs ,11445354,FLEX,2000,KC@NE 10/14/2018 08:20PM ET,KC,7.8
WR,Demarcus Robinson (11445396),Demarcus Robinson,11445396,CPT,1800,KC@NE 10/14/2018 08:20PM ET,KC,2.48
RB,Kenjon Barner (11445355),Kenjon Barner,11445355,FLEX,1600,KC@NE 10/14/2018 08:20PM ET,NE,1.1
RB,Spencer Ware (11445356),Spencer Ware,11445356,FLEX,1600,KC@NE 10/14/2018 08:20PM ET,KC,2.64
TE,Jacob Hollister (11445397),Jacob Hollister,11445397,CPT,1500,KC@NE 10/14/2018 08:20PM ET,NE,3.25
TE,Dwayne Allen (11445398),Dwayne Allen,11445398,CPT,1500,KC@NE 10/14/2018 08:20PM ET,NE,0.12
WR,De'Anthony Thomas (11445357),De'Anthony Thomas,11445357,FLEX,1400,KC@NE 10/14/2018 08:20PM ET,KC,2.5
WR,Demarcus Robinson (11445358),Demarcus Robinson,11445358,FLEX,1200,KC@NE 10/14/2018 08:20PM ET,KC,2.48
TE,Demetrius Harris (11445399),Demetrius Harris,11445399,CPT,1200,KC@NE 10/14/2018 08:20PM ET,KC,4.42
TE,Jacob Hollister (11445359),Jacob Hollister,11445359,FLEX,1000,KC@NE 10/14/2018 08:20PM ET,NE,3.25
TE,Dwayne Allen (11445360),Dwayne Allen,11445360,FLEX,1000,KC@NE 10/14/2018 08:20PM ET,NE,0.12
TE,Demetrius Harris (11445361),Demetrius Harris,11445361,FLEX,800,KC@NE 10/14/2018 08:20PM ET,KC,4.42
RB,Damien Williams (11445400),Damien Williams,11445400,CPT,300,KC@NE 10/14/2018 08:20PM ET,KC,0.96
RB,Darrel Williams (11445401),Darrel Williams,11445401,CPT,300,KC@NE 10/14/2018 08:20PM ET,KC,0
RB,Anthony Sherman (11445402),Anthony Sherman,11445402,CPT,300,KC@NE 10/14/2018 08:20PM ET,KC,3.14
WR,Marcus Kemp (11445403),Marcus Kemp,11445403,CPT,300,KC@NE 10/14/2018 08:20PM ET,KC,0.34
TE,James Winchester (11445404),James Winchester,11445404,CPT,300,KC@NE 10/14/2018 08:20PM ET,KC,0
RB,Rex Burkhead (11445405),Rex Burkhead,11445405,CPT,300,KC@NE 10/14/2018 08:20PM ET,NE,4.9
RB,James Develin (11445406),James Develin,11445406,CPT,300,KC@NE 10/14/2018 08:20PM ET,NE,1.24
WR,Braxton Berrios (11445407),Braxton Berrios,11445407,CPT,300,KC@NE 10/14/2018 08:20PM ET,NE,0
WR,Matthew Slater (11445408),Matthew Slater,11445408,CPT,300,KC@NE 10/14/2018 08:20PM ET,NE,0
