player,position,team,upper,lower,points,sdPts,positionRank,dropoff,tier,sdRank,risk,,,
A.J. Brown,WR,MISS,13.8,13.8,17.9,,,0,0,79,0.44,,,
Darnell Mooney,WR,TULANE,14.2,14.2,17.9,,,1,0,81,0.61,,,
Ronnie Rivers,RB,FRESNO,16.4,16.4,17.9,,,55,0.81,33,0.35,,,
CJ Verdell,RB,OREG,15.7,15.7,17.8,,,84,0.72,18,0.11,,,
David Blough,QB,PURDUE,16.2,16.2,17.6,261,1.53,5,0.14,0,0,,,
Alex Thomson,QB,MRSHL,16.6,16.6,17.6,220,1.86,14,0.15,0,0,,,
Brian Lewerke,QB,MICHST,16.5,16.5,17.5,229,1.33,21,0.26,0,0,,,
Kenny Pickett,QB,PITT,16.3,16.3,17.4,240,1.38,14,0.23,0,0,,,
Garret Lewis,QB,NAVY,17.1,17.1,17.3,80,0.77,84,0.62,0,0,,,
Tyler Johnson,WR,MINN,14.2,14.2,17.3,,,0,0,75,0.82,,,
Ryan Finley,QB,NCST,15.8,15.8,17.2,265,1.41,5,0.05,0,0,,,
Nathan Elliott,QB,UNC,15.6,15.6,17.2,250,1.8,5,0.05,0,0,,,
Drew Lock,QB,MIZZOU,15.6,15.6,17.1,253,1.52,8,0.16,0,0,,,
Lexington Thomas,RB,UNLV,14.6,14.6,17.1,,,87,0.66,13,0.07,,,
CeeDee Lamb,WR,OKLA,14.3,14.3,17,,,0,0,76,0.81,,,
Chase Garbers,QB,CAL,16,16,17,225,1.63,24,0.07,0,0,,,
Jalen Hurd,WR,BAYLOR,14.2,14.2,17,,,23,0.33,62,0.25,,,
Dexter Williams,RB,ND,14.8,14.8,16.9,,,84,0.72,10,0.09,,,
Benjamin Snell Jr.,RB,UK,14.8,14.8,16.9,,,92,0.74,7,0.05,,,
James Morgan,QB,FIU,16,16,16.8,230,1.88,-2,0.08,0,0,,,
Jamarius Way,WR,SALA,13.2,13.2,16.8,,,1,0,85,0.38,,,
A.J. Bush,QB,ILL,16.3,16.3,16.8,164,1.14,54,0.31,0,0,,,
Qadree Ollison,RB,PITT,14.6,14.6,16.7,,,84,0.64,12,0.07,,,
Johnny Ford,RB,SFLA,15.4,15.4,16.7,,,82,1.07,6,0.02,,,
Feleipe Franks,QB,FLA,15.6,15.6,16.7,223,1.53,12,0.22,0,0,,,
Jafar Armstrong,RB,ND,14.7,14.7,16.6,,,66,0.51,35,0.03,,,
Hakeem Butler,WR,IOWAST,13.9,13.9,16.6,,,0,0,74,0.78,,,
Amon-Ra St. Brown,WR,USC,13.2,13.2,16.6,,,3,0,78,0.46,,,
Matt Colburn,RB,WAKE,14.6,14.6,16.5,,,89,0.77,10,0.02,,,
James Williams,RB,WASHST,13.6,13.6,16.5,,,34,0.41,38,0.23,,,
Marcel Murray,RB,ARKST,14.8,14.8,16.5,,,66,0.86,15,0.14,,,
John Hightower,WR,BOISE,13.6,13.6,16.5,,,10,0.27,62,0.6,,,
Ty Lee,WR,MTSU,13.2,13.2,16.4,,,4,0.04,66,0.55,,,
Corey Taylor II,RB,TULSA,15,15,16.4,,,78,1.03,7,0.02,,,
Wyoming,DEF,WYO,17.6,16.4,16.4,,,0,0,0,0,11.5,3.99,1.79
Britain Covey,WR,UTAH,12,12,16.3,,,6,0.01,77,0.24,,,
Ty Chandler,RB,TENN,14.8,14.8,16.3,,,48,0.3,32,0.63,,,
Travon McMillian,RB,COLO,14.1,14.1,16.2,,,86,0.44,15,0.1,,,
Tanner Morgan,QB,MINN,15.5,15.5,16.2,217,1.69,6,0.18,0,0,,,
AJ Dillon,RB,BC,14.1,14.1,16.2,,,92,0.56,9,0.08,,,
Jamal Custis,WR,CUSE,13.1,13.1,16,,,0,0,71,0.62,,,
Evan Orth,QB,SALA,14.7,14.7,16,249,1.27,14,0.05,0,0,,,
Jake Browning,QB,WASH,15.2,15.2,16,222,1.3,6,0.28,0,0,,,
Jermar Jefferson,RB,OREGST,13.7,13.7,16,,,86,0.58,10,0.06,,,
Kahlil Lewis,WR,CINCY,13,13,15.9,,,2,0,64,0.66,,,
Kelvin Harmon,WR,NCST,12.6,12.6,15.9,,,0,0,80,0.37,,,
Jauan Wesley,WR,NILL,12.5,12.5,15.9,,,0,0.02,71,0.42,,,
Pooka Williams Jr.,RB,KANSAS,13.4,13.4,15.9,,,59,0.35,30,0.18,,,
Kellen Mond,QB,TXAM,15.1,15.1,15.9,211,0.92,32,0.24,0,0,,,
Penny Hart,WR,GAST,12.5,12.5,15.9,,,0,0,76,0.41,,,
Patrick Taylor Jr.,RB,MEMP,14.5,14.5,15.9,,,65,0.89,15,0.09,,,
Peytton Pickett,RB,LIB,14.7,14.7,15.9,,,77,1.07,2,0.03,,,
James Gilbert,RB,BALLST,13.9,13.9,15.9,,,82,0.6,12,0.06,,,
Reggie Corbin,RB,ILL,13.5,13.5,15.8,,,85,0.64,12,0.06,,,
Tee Higgins,WR,CLEM,13.3,13.3,15.8,,,0,0,62,0.85,,,
Shakif Seymour,RB,TOLEDO,14.1,14.1,15.7,,,54,0.37,31,0.39,,,
Keion Davis,RB,MRSHL,13.6,13.6,15.6,,,82,0.43,16,0.09,,,
Jarrett Stidham,QB,AUBURN,14.2,14.2,15.6,240,1.29,0,0.16,0,0,,,
Austin Walter,RB,RICE,13.6,13.6,15.6,,,65,0.42,27,0.12,,,
Elijah Mitchell,RB,LALAF,14.3,14.3,15.6,,,59,0.6,30,0.18,,,
Cade Carney,RB,WAKE,14.1,14.1,15.5,,,70,0.78,13,0.11,,,
Keenen Brown,TE,OKLAST,13,13,15.5,,,4,0.23,64,0.49,,,
Tre Watson,RB,TEXAS,13.3,13.3,15.5,,,45,0.33,32,0.33,,,
Wisconsin,DEF,WISC,16.9,15.5,15.5,,,0,0,0,0,12.8,2.48,2.64
Deondre Douglas,WR,TROY,12.9,12.9,15.4,,,2,0.02,60,0.73,,,
Clemson,DEF,CLEM,16.7,15.4,15.4,,,0,0,0,0,11.8,5.07,1.49
Marcus Green,WR,LAMON,12.4,12.4,15.3,,,12,0.02,69,0.45,,,
Damon Hazelton Jr.,WR,VATECH,12.4,12.4,15.2,,,1,0,66,0.58,,,
Rocky Lombardi,QB,MICHST,14.4,14.4,15.2,230,1.34,8,0.04,0,0,,,
Jordan Mims,RB,FRESNO,13.8,13.8,15.2,,,47,0.4,42,0.26,,,
Max Gilliam,QB,UNLV,14,14,15.2,244,1.38,1,0.14,0,0,,,
Marquis Young,RB,MA,13.5,13.5,15.2,,,70,0.59,18,0.12,,,
Miles Boykin,WR,ND,12.3,12.3,15.2,,,0,0,66,0.69,,,
Caleb Wilson,TE,UCLA,11.7,11.7,15.2,,,0,0,78,0.23,,,
Malcolm Williams,WR,CSTCAR,12.2,12.2,15.2,,,3,0.08,76,0.32,,,
Myles Gaskin,RB,WASH,13.3,13.3,15.1,,,79,0.56,11,0.07,,,
Damion Willis,WR,TROY,12.8,12.8,15.1,,,0,0,66,0.73,,,
Preston Williams,WR,TENN,12.5,12.5,15.1,,,1,0,67,0.62,,,
Deebo Samuel,WR,SC,12.3,12.3,15.1,,,6,0.13,58,0.47,,,
Marcus Williams Jr.,RB,APLST,13.7,13.7,15,,,83,0.58,6,0.2,,,
Jerry Jeudy,WR,BAMA,12.5,12.5,15,,,0,0,67,0.71,,,
Jake Fromm,QB,UGA,14.2,14.2,15,226,1.5,-1,0.03,0,0,,,
Kylin Hill,RB,MISSST,13,13,14.9,,,81,0.32,11,0.22,,,
Justin McInnis,WR,ARKST,11.8,11.8,14.8,,,0,0,67,0.45,,,
Jared Rice,TE,FRESNO,11.9,11.9,14.8,,,0,0,70,0.45,,,
Shea Patterson,QB,MICH,13.9,13.9,14.8,187,1.46,19,0.1,0,0,,,
Alexander Mattison,RB,BOISE,13.4,13.4,14.7,,,54,0.86,15,0.12,,,
Tyler Vaughns,WR,USC,11.9,11.9,14.7,,,0,0,63,0.56,,,
Anthony Brown,QB,BC,13.9,13.9,14.6,207,1.37,10,0.1,0,0,,,
Tyler Vander Waal,QB,WYO,14.3,14.3,14.6,174,1.82,6,0.05,0,0,,,
Stanley Morgan Jr.,WR,NEB,11.6,11.6,14.5,,,0,0,70,0.38,,,
JaTarvious Whitlow,WR,AUBURN,13.5,13.5,14.5,,,74,0.54,16,0.15,,,
Aca'Cedric Ware,RB,USC,12.9,12.9,14.5,,,73,0.55,11,0.12,,,
Jordan Mason,RB,GATECH,13,13,14.5,,,85,0.64,1,0.08,,,
JJ Arcega-Whiteside,WR,STNFRD,11.6,11.6,14.5,,,0,0.01,64,0.44,,,
Daniel Jones,QB,DUKE,13.6,13.6,14.4,176,1.33,23,0.21,0,0,,,
Tavares Thomas,RB,MTSU,13.1,13.1,14.4,,,46,0.66,16,0.34,,,
Deondre Francois,QB,FSU,13.2,13.2,14.4,237,1.24,-1,0.14,0,0,,,
Jalen Reagor,WR,TCU,11.8,11.8,14.4,,,2,0,60,0.57,,,
Tyleek Collins,WR,UNLV,11.9,11.9,14.3,,,7,0.1,60,0.44,,,
Cordale Grundy,QB,TXSA,13.9,13.9,14.3,168,1.1,30,0.15,0,0,,,
Jamauri Bogan,RB,WMICH,13.4,13.4,14.2,,,68,1.01,4,0.02,,,
Alex Barnes,RB,KSTATE,12.8,12.8,14.2,,,75,0.64,11,0.04,,,
Braeden West,RB,SMU,12.4,12.4,14.2,,,45,0.5,30,0.11,,,
Tony Pollard,RB,MEMP,12.7,12.7,14.1,,,26,0.28,39,0.52,,,
Bryce Love,RB,STNFRD,12.3,12.3,14.1,,,80,0.43,9,0.06,,,
Blake Banham,RB,EMICH,12,12,14,,,24,0.27,43,0.35,,,
Harrison Bryant,TE,FAU,11.5,11.5,14,,,0,0,56,0.63,,,
Trey Sermon,RB,OKLA,12.6,12.6,14,,,66,0.48,17,0.18,,,
Cody White,WR,MICHST,11.6,11.6,14,,,1,0,64,0.55,,,
Trayveon Williams,RB,TXAM,12.2,12.2,13.9,,,71,0.44,16,0.05,,,
Kilton Anderson,QB,CSTCAR,13.3,13.3,13.9,196,1.28,12,0.05,0,0,,,
Nathan Stanley,QB,IOWA,13.1,13.1,13.9,207,1.51,0,0.03,0,0,,,
Kennedy Brooks,RB,OKLA,12.4,12.4,13.8,,,62,0.85,5,0.04,,,
Benny LeMay,RB,CHARLO,12.1,12.1,13.8,,,75,0.43,14,0.04,,,
Courtney Lark,WR,HOU,11.3,11.3,13.8,,,0,0,67,0.44,,,
Kato Nelson,QB,AKRON,13.2,13.2,13.8,192,0.95,24,0.14,0,0,,,
D.J. Brown,WR,NILL,11.2,11.2,13.7,,,7,0.09,48,0.46,,,
Karan Higdon,RB,MICH,12.1,12.1,13.7,,,79,0.42,10,0.07,,,
Michael Pittman Jr.,WR,USC,11.8,11.8,13.7,,,1,0,60,0.69,,,
Kawaan Baker,WR,SALA,12.3,12.3,13.7,,,21,0.5,41,0.35,,,
Zach Wilson,QB,BYU,13,13,13.6,201,0.95,15,0.2,0,0,,,
Dillon Mitchell,WR,OREG,10.8,10.8,13.5,,,1,0,61,0.4,,,
Quez Watkins,WR,USM,10.9,10.9,13.5,,,1,0,57,0.49,,,
A.J. Richardson,WR,BOISE,11.1,11.1,13.5,,,0,0,61,0.51,,,
Rico Dowdle,RB,SC,11.8,11.8,13.5,,,69,0.38,16,0.13,,,
Shaq Vann,RB,EMICH,12,12,13.5,,,65,0.58,10,0.1,,,
Jon'Vea Johnson,WR,TOLEDO,11.3,11.3,13.4,,,0,0,61,0.64,,,
Trey Ragas,RB,LALAF,11.9,11.9,13.4,,,68,0.43,14,0.07,,,
Michael Carter,RB,UNC,11.7,11.7,13.4,,,62,0.42,14,0.19,,,
David Sills V,WR,WVU,11.1,11.1,13.4,,,1,0,55,0.61,,,
Kevin Mensah,RB,UCONN,11.5,11.5,13.4,,,69,0.31,14,0.06,,,
Torrance Marable,RB,CSTCAR,12.4,12.4,13.3,,,66,0.38,15,0.29,,,
Tre Harbison,RB,NILL,11.6,11.6,13.3,,,67,0.4,13,0.12,,,
Denzel Mims,WR,BAYLOR,10.9,10.9,13.3,,,0,0,60,0.49,,,
Quardraiz Wadley,RB,UTEP,11.9,11.9,13.2,,,60,0.29,22,0.23,,,
DaMarkus Lodge,WR,MISS,10.3,10.3,13.2,,,0,0,62,0.34,,,
Skylar Thompson,QB,KSTATE,13,13,13.2,141,0.82,33,0.29,0,0,,,
Easop Winston,WR,WASHST,10.8,10.8,13.2,,,0,0,54,0.53,,,
Dezmon Patmon,WR,WASHST,10.2,10.2,13.1,,,0,0,62,0.26,,,
Theo Howard,WR,UCLA,10.4,10.4,13,,,0,0,60,0.36,,,
Chance Bell,RB,SDGST,11.3,11.3,13,,,82,0.16,15,0.02,,,
Kerrith Whyte Jr.,RB,FAU,11.6,11.6,13,,,61,0.48,13,0.19,,,
Shun Brown,WR,ARIZ,10.1,10.1,13,,,2,0,55,0.3,,,
Shawn Poindexter,WR,ARIZ,10.7,10.7,12.9,,,0,0,59,0.5,,,
LJ Scott,RB,MICHST,11.7,11.7,12.9,,,62,0.44,19,0.07,,,
Jackson Tyner,QB,RICE,12.3,12.3,12.9,185,1.34,5,0.19,0,0,,,
Bryan Edwards,WR,SC,10.5,10.5,12.9,,,0,0,58,0.48,,,
Cedric Byrd,WR,HAWAII,10.2,10.2,12.9,,,0,0,50,0.45,,,
Marcus Outlow,RB,CSTCAR,11.7,11.7,12.9,,,70,0.54,9,0.06,,,
Parris Campbell,WR,OHIOST,10.7,10.7,12.8,,,4,0.03,46,0.6,,,
Ja'Deion High,WR,TXTECH,10,10,12.8,,,0,0,63,0.23,,,
Keaontay Ingram,RB,TEXAS,11.3,11.3,12.8,,,62,0.31,13,0.14,,,
Keylon Stokes,WR,TULSA,10.9,10.9,12.8,,,7,0.2,56,0.28,,,
Vavae Malepeai,RB,USC,12.1,12.1,12.8,,,52,0.95,6,0.02,,,
Ron'Quavion Tarver,WR,UTAHST,10.7,10.7,12.7,,,1,0,50,0.63,,,
Adrian Killins Jr.,RB,UCF,11.6,11.6,12.7,,,57,0.36,21,0.21,,,
Andre Nunez,QB,LALAF,11.6,11.6,12.7,215,1.23,-2,0.09,0,0,,,
Corey Dauphine,RB,TULANE,11.3,11.3,12.7,,,86,0.35,4,0.02,,,
Anthony Russo,QB,TEMPLE,11.8,11.8,12.7,216,1.27,1,0.1,0,0,,,
D'Andre Swift,RB,UGA,11.4,11.4,12.7,,,63,0.41,15,0.09,,,
Julian Hicks,WR,CMICH,10.3,10.3,12.6,,,1,0,46,0.56,,,
Jack Colletto,QB,OREGST,12.1,12.1,12.6,173,1.16,4,0.28,0,0,,,
Jordan Ellis,RB,UVA,11.1,11.1,12.5,,,49,0.44,18,0.13,,,
Aaron Cephus,WR,RICE,10.6,10.6,12.5,,,0,0,55,0.58,,,
Maleek Irons,RB,OHIO,11.6,11.6,12.5,,,59,0.64,7,0.13,,,
Brevin Jordan,TE,MIAMI,9.9,9.9,12.5,,,0,0,55,0.38,,,
Darrynton Evans,WR,APLST,11.7,11.7,12.5,,,75,0.24,11,0.17,,,
Art Thompkins,RB,TOLEDO,11.4,11.4,12.5,,,64,0.49,12,0.04,,,
Davontavean Martin,WR,WASHST,10,10,12.5,,,0,0,40,0.6,,,
Eli Peters,QB,TOLEDO,12.3,12.3,12.4,136,1.81,0,0.02,0,0,,,
K.J. Costello,QB,STNFRD,11.7,11.7,12.4,195,1.1,7,0.04,0,0,,,
Albert Okwuegbunam,TE,MIZZOU,9.7,9.7,12.4,,,0,0,51,0.56,,,
T.J. Vasher,WR,TXTECH,10.3,10.3,12.3,,,0,0,55,0.53,,,
Steven Peoples,RB,VATECH,11,11,12.3,,,66,0.42,11,0.09,,,
Gerold Bright,WR,UTAHST,11.3,11.3,12.3,,,54,0.33,20,0.17,,,
Sean Modster,WR,BOISE,9.7,9.7,12.2,,,0,0,58,0.29,,,
Travis Homer,RB,MIAMI,10.9,10.9,12.2,,,67,0.2,20,0.08,,,
Trivenskey Mosley,RB,USM,9.8,9.8,12.2,,,67,0.16,14,0.03,,,
Kyle Williams,WR,ARIZST,9.4,9.4,12.2,,,1,0,54,0.25,,,
