Rnk,Name,Team,Pos,Bye,Game,Pts,Sal
222,Jordan Akins,HST,te,10,@JAX,2.6,"$2,500 "
219,Jermaine Gresham,ARZ,te,9,DEN,2.6,"$2,700 "
221,Malcolm Brown,LAR,rb,12,@SF,2.6,"$4,300 "
224,Jordan Wilkins,IND,rb,9,BUF,2.5,"$3,400 "
223,C.J. Ham,MIN,rb,10,@NYJ,2.5,"$3,200 "
226,Mason Schreck,CIN,te,9,@KC,2.5,"$2,500 "
225,Tyler Higbee,LAR,te,12,@SF,2.5,"$2,700 "
257,Austin Carr,NO,wr,6,@BLT,2.5,"$3,000 "
278,Curtis Samuel,CAR,wr,4,@PHI,2.3,"$3,700 "
229,Garrett Celek,SF,te,11,LAR,2.3,"$2,500 "
227,Dion Sims,CHI,te,5,NE,2.3,"$2,500 "
228,Logan Thomas,BUF,te,11,@IND,2.3,"$2,500 "
281,TJ Jones,DET,wr,6,@MIA,2.2,"$3,000 "
279,Brice Butler,DAL,wr,8,@WAS,2.2,"$3,000 "
230,Luke Stocker,TEN,te,8,@LAC,2.2,"$2,500 "
280,Andre Roberts,NYJ,wr,11,MIN,2.2,"$3,100 "
232,Josh Adams,PHI,rb,9,CAR,2.1,"$3,000 "
231,A.J. Derby,MIA,te,11,DET,2.1,"$2,500 "
282,Kendrick Bourne,SF,wr,11,LAR,2.1,"$3,500 "
283,Justin Hardy,ATL,wr,8,NYG,2.1,"$3,000 "
233,Josh Hill,NO,te,6,@BLT,2,"$2,600 "
306,Lamar Jackson,BLT,qb,10,NO,2,"$4,500 "
239,Detrez Newsome,LAC,rb,8,TEN,2,N/A
284,Alex Erickson,CIN,wr,9,@KC,2,"$3,000 "
285,Joshua Bellamy,CHI,wr,5,NE,1.9,N/A
240,Rhett Ellison,NYG,te,9,@ATL,1.8,"$2,800 "
286,Aldrick Robinson,MIN,wr,10,@NYJ,1.8,"$3,100 "
241,Marcus Murphy,BUF,rb,11,@IND,1.7,"$3,000 "
242,Jordan Leggett,NYJ,te,11,MIN,1.6,"$2,500 "
287,Victor Bolden Jr.,SF,wr,11,LAR,1.6,"$3,000 "
243,David Morgan,MIN,te,10,@NYJ,1.6,"$2,500 "
244,Ian Thomas,CAR,te,4,@PHI,1.5,"$2,500 "
245,Michael Roberts,DET,te,6,@MIA,1.4,"$2,500 "
290,Phillip Dorsett,NE,wr,11,@CHI,1.3,"$3,700 "
289,Breshad Perriman,CLV,wr,11,@TB,1.3,"$3,000 "
246,Jordan Thomas,HST,te,10,@JAX,1.3,"$2,500 "
247,Derrick Coleman,ARZ,rb,9,DEN,1.3,"$3,000 "
249,Logan Paulsen,ATL,te,8,NYG,1.2,"$2,500 "
248,Benny Cunningham,CHI,rb,5,NE,1.2,"$3,200 "
250,Kenjon Barner,NE,rb,11,@CHI,1.1,"$3,000 "
292,Michael Floyd,WAS,wr,4,DAL,1.1,"$3,200 "
291,Demarcus Robinson,KC,wr,12,CIN,1.1,"$3,000 "
307,Taysom Hill,NO,qb,6,@BLT,1,"$4,000 "
251,Blake Jarwin,DAL,te,8,@WAS,1,"$2,500 "
252,Anthony Firkser,TEN,te,8,@LAC,1,"$2,500 "
260,Damien Williams,KC,rb,12,CIN,1,"$3,000 "
261,Anthony Sherman,KC,rb,12,CIN,1,"$3,000 "
259,Kalen Ballage,MIA,rb,11,DET,1,"$3,300 "
258,Jacquizz Rodgers,TB,rb,5,CLV,1,"$3,000 "
262,Tyler Conklin,MIN,te,10,@NYJ,0.8,"$2,500 "
263,Joshua Perkins,PHI,te,9,CAR,0.8,"$2,500 "
293,JoJo Natson,LAR,wr,12,@SF,0.8,N/A
264,Eric Saubert,ATL,te,8,NYG,0.7,"$2,500 "
294,Shelton Gibson,PHI,wr,9,CAR,0.7,"$3,000 "
265,Andy Janovich,DEN,rb,10,@ARZ,0.7,"$3,000 "
297,Marvin Hall,ATL,wr,8,NYG,0.6,"$3,000 "
295,DaeSean Hamilton,DEN,wr,10,@ARZ,0.6,"$3,000 "
296,Sammie Coates Jr.,HST,wr,10,@JAX,0.6,"$3,000 "
266,Seth DeValve,CLV,te,11,@TB,0.6,"$2,500 "
267,James Develin,NE,rb,11,@CHI,0.6,"$3,000 "
268,Zach Line,NO,rb,6,@BLT,0.6,"$3,000 "
270,Durham Smythe,MIA,te,11,DET,0.5,"$2,500 "
269,Alex Armah,CAR,rb,4,@PHI,0.5,"$3,000 "
271,Brian Parker,DEN,te,10,@ARZ,0.5,"$2,500 "
298,Kevin White,CHI,wr,5,NE,0.5,"$3,000 "
272,Patrick DiMarco,BUF,rb,11,@IND,0.4,"$3,000 "
273,Jamize Olawale,DAL,rb,8,@WAS,0.4,"$3,000 "
274,Trenton Cannon,NYJ,rb,11,MIN,0.4,"$3,000 "
299,De'Anthony Thomas,KC,wr,12,CIN,0.4,N/A
313,Josh McCown,NYJ,qb,11,MIN,0.2,"$4,300 "
312,Trevor Siemian,MIN,qb,10,@NYJ,0.2,"$4,400 "
275,Tyler Ervin,HST,rb,10,@JAX,0.2,"$3,000 "
310,Jacoby Brissett,IND,qb,9,BUF,0.2,"$4,500 "
309,Tyrod Taylor,CLV,qb,11,@TB,0.2,"$4,500 "
316,Matt Schaub,ATL,qb,8,NYG,0.2,"$4,400 "
308,Mike Glennon,ARZ,qb,9,DEN,0.2,"$4,300 "
302,Tommylee Lewis,NO,wr,6,@BLT,0.2,N/A
300,Jaydon Mickens,JAX,wr,9,HST,0.2,"$3,000 "
301,Tavon Austin,DAL,wr,8,@WAS,0.2,"$3,000 "
