player,position,team,upper,lower,points,YD,TD,sdPts,dropoff,sdRank,risk,DPA,SACK,INT
Jared Sparks,WR,PURDUE,4.2,4.2,5.4,,,2,0.01,23,0.07,,,
TreVontae Hights,WR,TCU,4.7,4.7,5.4,,,0,0,25,0.25,,,
Keith Gavin,WR,FSU,4.2,4.2,5.4,,,0,0,31,0.06,,,
Bilal Ally,RB,MA,4.8,4.8,5.4,,,21,0.15,7,0.18,,,
Micky Crum,TE,LVILLE,4.2,4.2,5.4,,,0,0,22,0.16,,,
Devin Gentry,WR,GAST,4.6,4.6,5.4,,,4,0.04,27,0.09,,,
Josh Falo,TE,USC,4.2,4.2,5.4,,,0,0,23,0.29,,,
Jeremiah Booker,WR,KANSAS,4.4,4.4,5.4,,,0,0,20,0.23,,,
Kyle Evans,RB,COLO,5.1,5.1,5.4,,,28,0.17,8,0.02,,,
Jeremiah Holloman,WR,UGA,4.6,4.6,5.4,,,0,0,26,0.22,,,
Thomas Geddis,WR,CINCY,4.4,4.4,5.4,,,0,0,30,0.09,,,
Kendall Blanton,TE,MIZZOU,4.3,4.3,5.3,,,0,0,22,0.18,,,
CJ Windham,WR,MTSU,4.5,4.5,5.3,,,0,0,22,0.24,,,
Marquez Callaway,WR,TENN,4,4,5.3,,,0,0,29,0.08,,,
Jarion Anderson,WR,TULSA,4.2,4.2,5.3,,,0,0,22,0.22,,,
Dylan Drummond,WR,EMICH,4.1,4.1,5.3,,,0,0,24,0.08,,,
Bobby Holly,RB,LATECH,4.8,4.8,5.3,,,8,0.07,2,0.48,,,
Gunnar Oakes,TE,EMICH,4.3,4.3,5.3,,,0,0,22,0.2,,,
Tyree Mayfield,TE,WYO,4.3,4.3,5.3,,,0,0,26,0.12,,,
Seth Dawkins,WR,LVILLE,4.3,4.3,5.3,,,0,0,28,0.11,,,
Lucious Stanley,RB,UAB,4.9,4.9,5.3,,,33,0.1,3,0.06,,,
Tommy Sweeney,TE,BC,4.3,4.3,5.3,,,0,0,16,0.32,,,
Adam Choice,RB,CLEM,5,5,5.3,,,32,0.22,3,0.02,,,
Drew Sample,TE,WASH,4.2,4.2,5.3,,,0,0,24,0.13,,,
Houston,DEF,HOU,7.8,5.3,5.3,,,0,0,0,0,33.8,1.85,0.91
Andre Baccellia,WR,WASH,4.2,4.2,5.3,,,2,0,23,0.09,,,
Javen Banks,WR,TXSTSM,4.6,4.6,5.3,,,0,0.1,20,0.23,,,
Mulbah Car,RB,HOU,5,5,5.2,,,33,0.16,4,0.02,,,
Grant Calcaterra,TE,OKLA,4.2,4.2,5.2,,,0,0,24,0.25,,,
La'Michael Pettway,WR,ARK,4.5,4.5,5.2,,,0,0,24,0.22,,,
Garland LaFrance,RB,WKY,4,4,5.2,,,11,0.1,11,0.02,,,
Kobe Smith,WR,SDGST,4.2,4.2,5.2,,,0,0,27,0.09,,,
Pat Freiermuth,TE,PSU,4.4,4.4,5.2,,,0,0,18,0.29,,,
Josh Crawford,RB,VANDY,4.9,4.9,5.2,,,16,0.41,5,0.02,,,
Emari Demercado,RB,TCU,4.8,4.8,5.2,,,28,0.16,6,0.04,,,
Chris Sharp,RB,UVA,4.5,4.5,5.2,,,8,0.05,10,0.34,,,
Jordan Nathan,WR,UTAHST,4.2,4.2,5.2,,,1,0,22,0.21,,,
Keegan Brewer,WR,NTEXAS,4.2,4.2,5.2,,,0,0,24,0.13,,,
Bryce Wolma,TE,ARIZ,4.2,4.2,5.2,,,0,0,21,0.18,,,
Stephen Guidry,WR,MISSST,4.4,4.4,5.2,,,0,0,24,0.2,,,
Noah Gray,TE,DUKE,4.4,4.4,5.2,,,0,0,22,0.24,,,
Alex James,RB,CSTCAR,4.7,4.7,5.2,,,29,0.14,3,0.16,,,
Demari Simpkins,WR,UTAH,4.4,4.4,5.2,,,0,0,23,0.24,,,
Devin C. Butler,WR,CUSE,4,4,5.2,,,0,0,24,0.08,,,
Arizona,DEF,ARIZ,7.8,5.2,5.2,,,0,0,0,0,34.9,2,1.06
Jocquez Bruce,RB,MTSU,4.3,4.3,5.1,,,10,0.05,19,0.07,,,
Jeremy Smith,RB,LVILLE,4.5,4.5,5.1,,,19,0.21,8,0.03,,,
Ricky Slade,RB,PSU,4.5,4.5,5.1,,,24,0.4,3,0.02,,,
Calen Holt,RB,ARMY,4.9,4.9,5.1,,,32,0.19,5,0.01,,,
Dameon Pierce,RB,FLA,4.6,4.6,5.1,,,35,0.22,2,0.01,,,
Kevin Austin,WR,ND,4.3,4.3,5.1,,,0,0,27,0.13,,,
Gunner Romney,WR,BYU,4.3,4.3,5.1,,,0,0,24,0.19,,,
Cameron Scarlett,RB,STNFRD,4.9,4.9,5.1,,,21,0.35,5,0.02,,,
Cole Tucker,WR,NILL,3.8,3.8,5.1,,,0,0,21,0.08,,,
Jashaun Corbin,RB,TXAM,4.5,4.5,5.1,,,21,0.14,10,0.01,,,
Amare Jones,RB,TULANE,4.2,4.2,5.1,,,15,0.1,14,0.02,,,
Jacqez Hairston,RB,CSTCAR,4.8,4.8,5.1,,,40,0.07,2,0.02,,,
C.J. Conrad,TE,UK,4,4,5.1,,,0,0,23,0.13,,,
Tyler Watts,WR,TXSTSM,3.9,3.9,5.1,,,2,0.02,20,0.1,,,
Chris Pierce,WR,VANDY,4,4,5,,,0,0,22,0.23,,,
Ryeshene Bronson,WR,SFLA,4,4,5,,,0,0,23,0.1,,,
Elijah Kothe,WR,SDGST,3.8,3.8,5,,,0,0,21,0.11,,,
Shocky Jacques-Louis,WR,PITT,3.6,3.6,5,,,7,0.01,24,0.07,,,
Tavien Feaster,RB,CLEM,4.7,4.7,5,,,26,0.23,4,0.02,,,
Noah Togiai,TE,OREGST,4.1,4.1,5,,,0,0,22,0.19,,,
Jordan Myers,WR,RICE,4.3,4.3,5,,,6,0.05,20,0.12,,,
Carmoni Green,WR,ILL,3.8,3.8,4.9,,,-1,0,24,0.1,,,
Asim Rose,RB,UK,4.8,4.8,4.9,,,28,0.3,1,0.01,,,
BJ Busbee,WR,SDGST,3.8,3.8,4.9,,,4,0,21,0.25,,,
Devante Peete,WR,LVILLE,4,4,4.9,,,0,0,26,0.09,,,
Joshua Moore,WR,TEXAS,3.9,3.9,4.9,,,0,0,16,0.2,,,
Beau Bisharat,RB,COLO,4.6,4.6,4.9,,,18,0.1,3,0.3,,,
Brandon Aiyuk,WR,ARIZST,4.1,4.1,4.9,,,0,0,26,0.13,,,
Tony Gaiter IV,WR,FIU,3.8,3.8,4.9,,,0,0,20,0.12,,,
Romello Harris,RB,FRESNO,4.6,4.6,4.9,,,24,0.22,6,0.02,,,
Ihmir Smith-Marsette,WR,IOWA,4.1,4.1,4.9,,,6,0.01,22,0.09,,,
Matt Dotson,TE,MICHST,4.2,4.2,4.9,,,0,0,16,0.31,,,
Osirus Mitchell,WR,MISSST,3.9,3.9,4.9,,,0,0,25,0.08,,,
Artayvious Lynn,TE,TCU,3.4,3.4,4.9,,,0,0,20,0.17,,,
Chase Hayden,RB,ARK,4.3,4.3,4.9,,,31,0.1,6,0.02,,,
Mark Quattlebaum,WR,CHARLO,4,4,4.9,,,0,0,19,0.25,,,
Thai Cottrell,WR,SJST,4,4,4.9,,,3,0.01,18,0.17,,,
Chase Blakley,TE,BOISE,3.7,3.7,4.9,,,0,0,14,0.22,,,
Armond Weh-Weh,RB,ARKST,4.5,4.5,4.8,,,26,0.07,10,0.03,,,
Workpeh Kofa,WR,CHARLO,3.8,3.8,4.8,,,0,0,21,0.1,,,
Kyle Riddering,TE,FRESNO,4,4,4.8,,,0,0,14,0.29,,,
DeVaughn Cooper,WR,ARIZ,3.9,3.9,4.8,,,0,0,26,0.07,,,
Armand Shyne,RB,UTAH,4.6,4.6,4.8,,,30,0.21,1,0.02,,,
Tommy Hudson,TE,ARIZST,3.7,3.7,4.8,,,0,0,18,0.13,,,
Brian Herrien,RB,UGA,4.6,4.6,4.8,,,29,0.25,1,0.02,,,
Devan Stubblefield,WR,HAWAII,3.8,3.8,4.8,,,0,0,24,0.07,,,
Colby Parkinson,TE,STNFRD,4.1,4.1,4.8,,,0,0,17,0.28,,,
Xzaviar Campbell,RB,UNLV,4.5,4.5,4.8,,,32,0.13,2,0.03,,,
Dalvin Warmack,RB,KSTATE,4.5,4.5,4.8,,,21,0.12,7,0.13,,,
Patrick Reed,WR,NMEX,4.1,4.1,4.8,,,2,0.01,23,0.17,,,
