Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Jason Croom (11534854),Jason Croom,11534854,TE/FLEX,2500,CHI@BUF 11/04/2018 01:00PM ET,BUF,3.19
TE,Dion Sims (11534881),Dion Sims,11534881,TE/FLEX,2500,CHI@BUF 11/04/2018 01:00PM ET,CHI,0.41
TE,Adam Shaheen (11534883),Adam Shaheen,11534883,TE/FLEX,2500,CHI@BUF 11/04/2018 01:00PM ET,CHI,0
TE,Daniel Brown (11534885),Daniel Brown,11534885,TE/FLEX,2500,CHI@BUF 11/04/2018 01:00PM ET,CHI,0
TE,Patrick Scales (11534887),Patrick Scales,11534887,TE/FLEX,2500,CHI@BUF 11/04/2018 01:00PM ET,CHI,0
TE,Ben Braunecker (11534889),Ben Braunecker,11534889,TE/FLEX,2500,CHI@BUF 11/04/2018 01:00PM ET,CHI,0
TE,Alan Cross (11534917),Alan Cross,11534917,TE/FLEX,2500,TB@CAR 11/04/2018 01:00PM ET,TB,0.23
TE,Antony Auclair (11534919),Antony Auclair,11534919,TE/FLEX,2500,TB@CAR 11/04/2018 01:00PM ET,TB,1.11
TE,Chris Manhertz (11534948),Chris Manhertz,11534948,TE/FLEX,2500,TB@CAR 11/04/2018 01:00PM ET,CAR,0.17
TE,Ian Thomas (11534950),Ian Thomas,11534950,TE/FLEX,2500,TB@CAR 11/04/2018 01:00PM ET,CAR,2.81
TE,Orson Charles (11534978),Orson Charles,11534978,TE/FLEX,2500,KC@CLE 11/04/2018 01:00PM ET,CLE,0.22
TE,Darren Fells (11534980),Darren Fells,11534980,TE/FLEX,2500,KC@CLE 11/04/2018 01:00PM ET,CLE,2.62
TE,Pharaoh Brown (11534982),Pharaoh Brown,11534982,TE/FLEX,2500,KC@CLE 11/04/2018 01:00PM ET,CLE,0
TE,Demetrius Harris (11535009),Demetrius Harris,11535009,TE/FLEX,2500,KC@CLE 11/04/2018 01:00PM ET,KC,3.77
TE,James Winchester (11535011),James Winchester,11535011,TE/FLEX,2500,KC@CLE 11/04/2018 01:00PM ET,KC,0
TE,Deon Yelder (11535013),Deon Yelder,11535013,TE/FLEX,2500,KC@CLE 11/04/2018 01:00PM ET,KC,0
TE,Durham Smythe (11535045),Durham Smythe,11535045,TE/FLEX,2500,NYJ@MIA 11/04/2018 01:00PM ET,MIA,0
TE,A.J. Derby (11535047),A.J. Derby,11535047,TE/FLEX,2500,NYJ@MIA 11/04/2018 01:00PM ET,MIA,3.83
TE,Neal Sterling (11535078),Neal Sterling,11535078,TE/FLEX,2500,NYJ@MIA 11/04/2018 01:00PM ET,NYJ,2.14
TE,Jordan Leggett (11535080),Jordan Leggett,11535080,TE/FLEX,2500,NYJ@MIA 11/04/2018 01:00PM ET,NYJ,1.76
TE,Eric Tomlinson (11535082),Eric Tomlinson,11535082,TE/FLEX,2500,NYJ@MIA 11/04/2018 01:00PM ET,NYJ,1.44
DST,Jets  (11535084),Jets ,11535084,DST,2500,NYJ@MIA 11/04/2018 01:00PM ET,NYJ,8.12
TE,Xavier Grimble (11535116),Xavier Grimble,11535116,TE/FLEX,2500,PIT@BAL 11/04/2018 01:00PM ET,PIT,1.06
TE,Nick Boyle (11535148),Nick Boyle,11535148,TE/FLEX,2500,PIT@BAL 11/04/2018 01:00PM ET,BAL,3.45
TE,Maxx Williams (11535152),Maxx Williams,11535152,TE/FLEX,2500,PIT@BAL 11/04/2018 01:00PM ET,BAL,3.93
TE,Darren Waller (11535154),Darren Waller,11535154,TE/FLEX,2500,PIT@BAL 11/04/2018 01:00PM ET,BAL,0
DST,Ravens  (11535156),Ravens ,11535156,DST,2500,PIT@BAL 11/04/2018 01:00PM ET,BAL,7.38
TE,Levine Toilolo (11535179),Levine Toilolo,11535179,TE/FLEX,2500,DET@MIN 11/04/2018 01:00PM ET,DET,1.01
TE,Michael Roberts (11535181),Michael Roberts,11535181,TE/FLEX,2500,DET@MIN 11/04/2018 01:00PM ET,DET,7.08
TE,Luke Willson (11535183),Luke Willson,11535183,TE/FLEX,2500,DET@MIN 11/04/2018 01:00PM ET,DET,2.11
TE,Josiah Price (11535211),Josiah Price,11535211,TE/FLEX,2500,DET@MIN 11/04/2018 01:00PM ET,MIN,0
TE,Tyler Conklin (11535213),Tyler Conklin,11535213,TE/FLEX,2500,DET@MIN 11/04/2018 01:00PM ET,MIN,0.41
TE,Kevin McDermott (11535215),Kevin McDermott,11535215,TE/FLEX,2500,DET@MIN 11/04/2018 01:00PM ET,MIN,0
TE,David Morgan (11535217),David Morgan,11535217,TE/FLEX,2500,DET@MIN 11/04/2018 01:00PM ET,MIN,1.23
TE,Eric Saubert (11535246),Eric Saubert,11535246,TE/FLEX,2500,ATL@WAS 11/04/2018 01:00PM ET,ATL,0.51
TE,Logan Paulsen (11535248),Logan Paulsen,11535248,TE/FLEX,2500,ATL@WAS 11/04/2018 01:00PM ET,ATL,1.83
TE,Jeremy Sprinkle (11535283),Jeremy Sprinkle,11535283,TE/FLEX,2500,ATL@WAS 11/04/2018 01:00PM ET,WAS,0
TE,Ryan Griffin (11535313),Ryan Griffin,11535313,TE/FLEX,2500,HOU@DEN 11/04/2018 04:05PM ET,HOU,4
TE,Jordan Akins (11535315),Jordan Akins,11535315,TE/FLEX,2500,HOU@DEN 11/04/2018 04:05PM ET,HOU,2.24
TE,Matt LaCosse (11535344),Matt LaCosse,11535344,TE/FLEX,2500,HOU@DEN 11/04/2018 04:05PM ET,DEN,2.18
TE,Brian Parker (11535346),Brian Parker,11535346,TE/FLEX,2500,HOU@DEN 11/04/2018 04:05PM ET,DEN,0
TE,Virgil Green (11535375),Virgil Green,11535375,TE/FLEX,2500,LAC@SEA 11/04/2018 04:05PM ET,LAC,3.63
TE,Hunter Henry (11535377),Hunter Henry,11535377,TE/FLEX,2500,LAC@SEA 11/04/2018 04:05PM ET,LAC,0
TE,Sean Culkin (11535379),Sean Culkin,11535379,TE/FLEX,2500,LAC@SEA 11/04/2018 04:05PM ET,LAC,0
TE,Will Dissly (11535410),Will Dissly,11535410,TE/FLEX,2500,LAC@SEA 11/04/2018 04:05PM ET,SEA,9.65
TE,Darrell Daniels (11535412),Darrell Daniels,11535412,TE/FLEX,2500,LAC@SEA 11/04/2018 04:05PM ET,SEA,0
TE,Tyler Ott (11535414),Tyler Ott,11535414,TE/FLEX,2500,LAC@SEA 11/04/2018 04:05PM ET,SEA,0
DST,Seahawks  (11535416),Seahawks ,11535416,DST,2500,LAC@SEA 11/04/2018 04:05PM ET,SEA,9.14
TE,Johnny Mundt (11535445),Johnny Mundt,11535445,TE/FLEX,2500,LAR@NO 11/04/2018 04:25PM ET,LAR,0
TE,Dan Arnold (11535475),Dan Arnold,11535475,TE/FLEX,2500,LAR@NO 11/04/2018 04:25PM ET,NO,1.83
TE,Robert Tonyan (11535503),Robert Tonyan,11535503,TE/FLEX,2500,GB@NE 11/04/2018 08:20PM ET,GB,0
TE,Lance Kendricks (11535505),Lance Kendricks,11535505,TE/FLEX,2500,GB@NE 11/04/2018 08:20PM ET,GB,2.81
TE,Marcedes Lewis (11535507),Marcedes Lewis,11535507,TE/FLEX,2500,GB@NE 11/04/2018 08:20PM ET,GB,0
TE,Jacob Hollister (11535542),Jacob Hollister,11535542,TE/FLEX,2500,GB@NE 11/04/2018 08:20PM ET,NE,2.17
TE,Blake Jarwin (11535572),Blake Jarwin,11535572,TE/FLEX,2500,TEN@DAL 11/05/2018 08:15PM ET,DAL,0.67
TE,Dalton Schultz (11535574),Dalton Schultz,11535574,TE/FLEX,2500,TEN@DAL 11/05/2018 08:15PM ET,DAL,1.1
TE,Rico Gathers (11535576),Rico Gathers,11535576,TE/FLEX,2500,TEN@DAL 11/05/2018 08:15PM ET,DAL,1.1
TE,Delanie Walker (11535599),Delanie Walker,11535599,TE/FLEX,2500,TEN@DAL 11/05/2018 08:15PM ET,TEN,9.2
TE,Anthony Firkser (11535601),Anthony Firkser,11535601,TE/FLEX,2500,TEN@DAL 11/05/2018 08:15PM ET,TEN,1.5
TE,Jonnu Smith (11535603),Jonnu Smith,11535603,TE/FLEX,2500,TEN@DAL 11/05/2018 08:15PM ET,TEN,1.34
