Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Daniel Imatorbhebhe (11510078),Daniel Imatorbhebhe,11510078,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,0
WR,Tommy Hudson (11510084),Tommy Hudson,11510084,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,1.88
WR,John Humphrey (11510090),John Humphrey,11510090,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0
WR,Josh Pokraka (11510116),Josh Pokraka,11510116,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0
WR,Tyler Petite (11510170),Tyler Petite,11510170,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,3.5
WR,Ryan Newsome (11510224),Ryan Newsome,11510224,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,3.17
WR,Jake Russell (11510268),Jake Russell,11510268,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,0
WR,Jared Bubak (11510283),Jared Bubak,11510283,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0
WR,Josh Imatorbhebhe (11510307),Josh Imatorbhebhe,11510307,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,0
WR,Trevon Sidney (11510342),Trevon Sidney,11510342,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,5.2
WR,Keyshawn Young (11510348),Keyshawn Young,11510348,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,0
RB,Quincy Jountti (11510421),Quincy Jountti,11510421,RB/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,0
RB,Chris Edmondson (11510477),Chris Edmondson,11510477,RB/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,0
WR,Curtis Hodges (11510538),Curtis Hodges,11510538,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,2.1
WR,Mark Walton (11510546),Mark Walton,11510546,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0
WR,Ceejhay French-Love (11510570),Ceejhay French-Love,11510570,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,1.9
WR,Austin Applebee (11510630),Austin Applebee,11510630,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,0
WR,Kyle Remo (11510641),Kyle Remo,11510641,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0
WR,Josh Falo (11510746),Josh Falo,11510746,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,5
WR,Randal Grimes (11510749),Randal Grimes,11510749,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,0
WR,Erik Krommenhoek (11510752),Erik Krommenhoek,11510752,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,1.2
RB,Ben Easington (11510781),Ben Easington,11510781,RB/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,0
WR,Matt Nyman (11510784),Matt Nyman,11510784,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,0
WR,Jack Webster (11510787),Jack Webster,11510787,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,0
WR,Michael Gombert (11510867),Michael Gombert,11510867,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0
RB,A.J. Carter (11510888),A.J. Carter,11510888,RB/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0.7
WR,Geordon Porter (11510894),Geordon Porter,11510894,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0
RB,Brock Sturges (11510897),Brock Sturges,11510897,RB/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0
RB,Howard Felder Jr. (11510991),Howard Felder Jr.,11510991,RB/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,0
WR,Matthew Hocum (11510994),Matthew Hocum,11510994,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,0
RB,Markese Stepp (11511170),Markese Stepp,11511170,RB/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,1
WR,Devon Williams (11511173),Devon Williams,11511173,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,USC,0
WR,Tyerell Baldonado-Kaeiopu (11511181),Tyerell Baldonado-Kaeiopu,11511181,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0
WR,Jarick Caldwell (11511188),Jarick Caldwell,11511188,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0
WR,Keith Davis (11511191),Keith Davis,11511191,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0
RB,Tavian Gould (11511194),Tavian Gould,11511194,RB/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0
WR,C.J. Jarmon (11511197),C.J. Jarmon,11511197,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0
WR,Tannor Park (11511200),Tannor Park,11511200,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0
WR,Angel Ruiz (11511203),Angel Ruiz,11511203,WR/FLEX/S-FLEX,3000,ASU@USC 10/27/2018 03:30PM ET,ASU,0
RB,Carson Meier (11510007),Carson Meier,11510007,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,6.2
WR,Nick Basquine (11510031),Nick Basquine,11510031,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,1.2
RB,Justin Silmon (11510054),Justin Silmon,11510054,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0.4
RB,Rodney Anderson (11510087),Rodney Anderson,11510087,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,16.45
WR,A.D. Miller (11510093),A.D. Miller,11510093,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,4.7
WR,Zach Reuter (11510113),Zach Reuter,11510113,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,3.46
WR,Blaise Gammon (11510159),Blaise Gammon,11510159,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,2.17
RB,Luke Sowa (11510239),Luke Sowa,11510239,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Sam Iheke (11510265),Sam Iheke,11510265,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
WR,Spencer Jones (11510424),Spencer Jones,11510424,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
WR,Mykel Jones (11510427),Mykel Jones,11510427,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,5.7
WR,Wykeen Gill (11510485),Wykeen Gill,11510485,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Isaiah Harris (11510488),Isaiah Harris,11510488,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,2.68
WR,Nick Lenners (11510491),Nick Lenners,11510491,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
RB,Mike McCoy (11510494),Mike McCoy,11510494,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,D.J. Render (11510497),D.J. Render,11510497,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Matt Jones (11510532),Matt Jones,11510532,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
RB,Joe Castiglione Jr. (11510586),Joe Castiglione Jr.,11510586,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
RB,Jeremiah Hall (11510589),Jeremiah Hall,11510589,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
WR,Chase Nevel (11510592),Chase Nevel,11510592,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
WR,Myles Tease (11510601),Myles Tease,11510601,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,4.87
WR,Reggie Turner (11510604),Reggie Turner,11510604,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
RB,Mason Barta (11510627),Mason Barta,11510627,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Hunter Rison (11510633),Hunter Rison,11510633,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Charleston Rambo (11510712),Charleston Rambo,11510712,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
RB,Adam Harter (11510717),Adam Harter,11510717,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Eric Hommel (11510722),Eric Hommel,11510722,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Logan Long (11510725),Logan Long,11510725,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Spencer Misko (11510728),Spencer Misko,11510728,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
RB,Cornelius Ruff IV (11510731),Cornelius Ruff IV,11510731,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Chabastin Taylor (11510734),Chabastin Taylor,11510734,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,1.5
WR,Landry Weber (11510737),Landry Weber,11510737,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Dylan Wentzel (11510740),Dylan Wentzel,11510740,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
RB,Harry Trotter (11510755),Harry Trotter,11510755,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Jaquayln Crawford (11510903),Jaquayln Crawford,11510903,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
RB,T.J. Pledger (11510906),T.J. Pledger,11510906,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,2.2
WR,Cameron Cotton (11510999),Cameron Cotton,11510999,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Brayden Willis (11511139),Brayden Willis,11511139,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,3.9
RB,Coby Tillman (11511142),Coby Tillman,11511142,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
WR,Drake Stoops (11511145),Drake Stoops,11511145,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,3.6
WR,Devin Staton (11511148),Devin Staton,11511148,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
WR,Dane Saltarelli (11511151),Dane Saltarelli,11511151,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
WR,Jaylon Robinson (11511154),Jaylon Robinson,11511154,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,2.9
WR,Karsten Mathis (11511159),Karsten Mathis,11511159,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
WR,Andrew Magee (11511162),Andrew Magee,11511162,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
WR,Phillip Brooks (11511208),Phillip Brooks,11511208,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
RB,Kirk Coomes (11511211),Kirk Coomes,11511211,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Thomas Helten (11511214),Thomas Helten,11511214,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Malik Knowles (11511219),Malik Knowles,11511219,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Jaquay Lane (11511222),Jaquay Lane,11511222,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Elliot Ollenburger (11511225),Elliot Ollenburger,11511225,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,Seth Porter (11511228),Seth Porter,11511228,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
WR,EJ Turner (11511231),EJ Turner,11511231,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
RB,Michael Warmack (11511234),Michael Warmack,11511234,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,KSU,0
RB,Michael Anderson (11511273),Michael Anderson,11511273,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
RB,Isaiah Harris (11511285),Isaiah Harris,11511285,RB/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
WR,Zach Kerstetter (11511290),Zach Kerstetter,11511290,WR/FLEX/S-FLEX,3000,KSU@OU 10/27/2018 03:30PM ET,OU,0
RB,Austin Kelly (11510075),Austin Kelly,11510075,RB/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,4.05
WR,Drew Cook (11510122),Drew Cook,11510122,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
RB,Brady Ross (11510125),Brady Ross,11510125,RB/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,1.47
WR,Nate Vejvoda (11510130),Nate Vejvoda,11510130,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,0
WR,Nate Wieting (11510133),Nate Wieting,11510133,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,IOWA,4
WR,Joe Arcangelo (11510139),Joe Arcangelo,11510139,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,0
WR,Nick Bowers (11510215),Nick Bowers,11510215,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,4.8
WR,Dan Chisena (11510218),Dan Chisena,11510218,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,0
WR,Jonathan Holland (11510227),Jonathan Holland,11510227,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,5.8
WR,Tyler Shoop (11510236),Tyler Shoop,11510236,WR/FLEX/S-FLEX,3000,IOWA@PSU 10/27/2018 03:30PM ET,PSU,0
