player,position,team,upper,lower,points,rrqaw,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk
Joshua Samuel,RB,WKY,9.1,9.1,10.2,,,60,0.35,7,0.04,,,,
Air Force,DEF,AF,9.1,6.7,6.7,,,0,0,0,0,30.4,1.92,1.23,
Dillon Mitchell,WR,OREG,9.1,9.1,11.3,,,0,0,54,0.28,,,,
T.J. Rahming,WR,DUKE,9,9,11.3,,,2,0,46,0.36,,,,
Trevor Speights,RB,STNFRD,9,9,10.1,,,62,0.42,1,0.02,,,,
Coastal Caroina,DEF,CSTCAR,9,6.1,6.1,,,0,0,0,0,43.3,2.54,1.31,
Travis Fulgham,WR,ODU,9,9,10.7,,,0,0,51,0.37,,,,
Tez Parks,RB,USM,8.9,8.9,10,,,23,0.56,19,0.16,,,,
Jordan Fredericks,RB,MA,8.9,8.9,9.8,,,45,0.33,10,0.2,,,,
Lucky Jackson,WR,WKY,8.9,8.9,11.3,,,0,0,52,0.24,,,,
CeeDee Lamb,WR,OKLA,8.9,8.9,10.4,,,0,0,49,0.45,,,,
Dezmon Patmon,WR,WASHST,8.9,8.9,11.1,,,0,0,55,0.24,,,,
Olabisi Johnson,WR,COLOST,8.9,8.9,10.9,,,0,0,53,0.3,,,,
Artavis Pierce,RB,OREGST,8.9,8.9,9.9,,,48,0.28,14,0.04,,,,
Holton Ahlers,RB,ECU,8.8,8.8,9.8,,,35,0.49,14,0.07,,,,
Memphis,DEF,MEMP,8.8,6.7,6.7,,,0,0,0,0,37.4,1.38,1.23,
Taj Harris,WR,CUSE,8.8,8.8,11.1,,,0,0,58,0.18,,,,
Riley Miller,WR,BALLST,8.8,8.8,11.1,,,0,0,54,0.23,,,,
Dontae Strickland,RB,CUSE,8.8,8.8,9.5,,,39,0.4,14,0.06,,,,
Jared Rice,TE,FRESNO,8.7,8.7,10.7,,,0,0,54,0.28,,,,
Cincinnati,DEF,CINCY,8.7,6.7,6.7,,,0,0,0,0,23.6,0.96,1.44,
Ty Johnson,RB,MD,8.7,8.7,9.7,,,62,0.21,7,0.05,,,,
K.J. Hill,WR,OHIOST,8.7,8.7,10.7,,,0,0,52,0.28,,,,
Mississippi State,DEF,MISSST,8.7,6.6,6.6,,,0,0,0,0,24,2.72,0.52,
Kwadarrius Smith,WR,AKRON,8.6,8.6,10.6,,,2,0.01,58,0.27,,,,
Keenen Johnson,WR,TULSA,8.6,8.6,10.5,,,0,0,46,0.38,,,,
Cade Carney,RB,WAKE,8.6,8.6,9.3,,,39,0.49,10,0.06,,,,
Shun Brown,WR,ARIZ,8.6,8.6,11,,,3,0,49,0.25,,,,
Mik'Quan Deane,TE,WKY,8.6,8.6,10,,,1,0,40,0.54,,,,
Aaron Fuller,WR,WASH,8.5,8.5,10.4,,,0,0,53,0.27,,,,
Tyler Vaughns,WR,USC,8.5,8.5,10.7,,,0,0,49,0.29,,,,
Max Borghi,RB,WASHST,8.5,8.5,10.4,,,22,0.51,14,0.16,,,,
RB Marlow III,WR,BGREEN,8.5,8.5,10.6,,,1,0,55,0.18,,,,
Rutgers,DEF,RUT,8.5,6.3,6.3,,,0,0,0,0,26.6,2.07,1.1,
B.J. Daniels,RB,TXSA,8.5,8.5,9.3,,,45,0.41,9,0.07,,,,
Aca'Cedric Ware,RB,USC,8.5,8.5,9.4,,,42,0.37,13,0.07,,,,
Bryant Koback,RB,TOLEDO,8.5,8.5,8.7,,,43,0.57,4,0.03,,,,
Florida Atlantic,DEF,FAU,8.5,6.6,6.6,,,0,0,0,0,28.1,1.8,1.26,
Jordon Brown,RB,UNC,8.5,8.5,9.5,,,38,0.37,15,0.02,,,,
Kylin Hill,RB,MISSST,8.4,8.4,9.4,,,56,0.17,7,0.12,,,,
RJ Turner,WR,LAMON,8.4,8.4,10.1,,,0,0,47,0.36,,,,
Victor Tucker,WR,CHARLO,8.4,8.4,11,,,0,0,50,0.17,,,,
Freddie Holly III,RB,HAWAII,8.4,8.4,8.9,,,46,0.44,9,0.03,,,,
Dayton Furuta,RB,HAWAII,8.4,8.4,10,,,42,0.34,15,0.16,,,,
Raelon Singleton,WR,HOU,8.4,8.4,9.9,,,0,0,43,0.46,,,,
Kevin Mensah,RB,UCONN,8.4,8.4,9.5,,,58,0.16,10,0.05,,,,
Frank Darby,WR,ARIZST,8.4,8.4,10.1,,,0,0.04,54,0.21,,,,
Patrick Taylor Jr.,RB,MEMP,8.4,8.4,9.1,,,42,0.46,9,0.02,,,,
Jordan Mitchell,WR,USM,8.4,8.4,10.6,,,-1,0,56,0.18,,,,
Ronald Cleveland,WR,AF,8.4,8.4,9,,,28,0.26,19,0.27,,,,
Mason Hays,WR,TXSTSM,8.4,8.4,9.9,,,0,0,45,0.41,,,,
Maleek Williams,RB,ARK,8.3,8.3,8.6,,,30,0.79,4,0.02,,,,
Western Kentucky,DEF,WKY,8.3,6.3,6.3,,,0,0,0,0,27,1.51,1.21,
Marcus Bennett,WR,AF,8.3,8.3,9.5,,,1,0,42,0.52,,,,
Tony Ellison,WR,ARIZ,8.3,8.3,9.8,,,1,0.02,43,0.39,,,,
Cameron Scarlett,RB,STNFRD,8.3,8.3,8.5,,,40,0.61,4,0.02,,,,
Devonta Smith,WR,BAMA,8.3,8.3,10,,,0,0,49,0.4,,,,
A.J. Taylor,WR,WISC,8.3,8.3,9.5,,,1,0,43,0.45,,,,
Kennedy Brooks,RB,OKLA,8.3,8.3,8.7,,,47,0.45,5,0.02,,,,
Shaq Vann,RB,EMICH,8.2,8.2,9.2,,,43,0.31,9,0.1,,,,
Noah Fant,TE,IOWA,8.2,8.2,9.4,,,0,0,30,0.69,,,,
Cameron Green,TE,NWEST,8.2,8.2,10.3,,,-1,0,38,0.44,,,,
Jared Pinkney,TE,VANDY,8.2,8.2,10.2,,,0,0,52,0.21,,,,
Clyde Edwards-Helaire,RB,LSU,8.2,8.2,8.7,,,57,0.36,2,0.01,,,,
Lynn Bowden,WR,UK,8.2,8.2,10.3,,,0,0,39,0.55,,,,
Jonah Morris,WR,AKRON,8.2,8.2,10.1,,,0,0,55,0.16,,,,
Ronnie Rivers,RB,FRESNO,8.2,8.2,9.1,,,23,0.33,21,0.21,,,,
Line Latu,WR,EMICH,8.2,8.2,9.6,,,2,0,49,0.3,,,,
Justin Hobbs,WR,TULSA,8.2,8.2,10.2,,,0,0,53,0.22,,,,
Dominique Heath,WR,APLST,8.1,8.1,9.8,,,1,0.02,34,0.49,,,,
Marshall,DEF,MRSHL,8.1,5.9,5.9,,,0,0,0,0,30.8,1.83,0.95,
JoJo Ward,WR,HAWAII,8.1,8.1,9.8,,,0,0,47,0.3,,,,
North Texas,DEF,NTEXAS,8.1,6.5,6.5,,,0,0,0,0,29,1.68,1.09,
Malik Williams,WR,APLST,8.1,8.1,9.3,,,0,0.05,36,0.5,,,,
Kansas,DEF,KANSAS,8,5.3,5.3,,,0,0,0,0,39.4,2.15,1.22,
Arizona State,DEF,ARIZST,8,6,6,,,0,0,0,0,25,2.11,0.76,
Marcus Williams Jr.,RB,APLST,8,8,8.4,,,44,0.12,10,0.28,,,,
Massachusetts,DEF,MA,8,6.4,6.4,,,0,0,0,0,32.8,2.71,0.5,
Ian Eriksen,RB,EMICH,8,8,8.6,,,42,0.36,11,0.02,,,,
Omar Bayless,WR,ARKST,8,8,10,,,0,0,48,0.26,,,,
Seth Green,WR,MINN,8,8,8.2,,,21,0.83,5,0.04,,,,
Jake Ferguson,TE,WISC,8,8,9.5,,,0,0,44,0.37,,,,
Aaron Cephus,WR,RICE,8,8,9.4,,,0,0,46,0.34,,,,
San Jose State,DEF,SJST,7.9,5.1,5.1,,,0,0,0,0,41,2.73,0.85,
KaVontae Turpin,WR,TCU,7.9,7.9,9.6,,,2,0.02,44,0.27,,,,
Michigan State,DEF,MICHST,7.9,5.8,5.8,,,0,0,0,0,23.5,1.7,0.79,
Hawaii,DEF,HAWAII,7.9,5.6,5.6,,,0,0,0,0,28.6,1.95,0.99,
Mitchell Wilcox,TE,SFLA,7.9,7.9,9.8,,,0,0,52,0.22,,,,
Zach Abey,RB,NAVY,7.9,7.9,8.2,,,40,0.67,1,0.03,,,,
Bennett Skowronek,WR,NWEST,7.9,7.9,9.9,,,0,0,47,0.23,,,,
Greg McCrae,RB,UCF,7.9,7.9,8.3,,,46,0.23,7,0.18,,,,
Whop Philyor,WR,IND,7.9,7.9,10,,,7,0.01,40,0.19,,,,
Keylon Stokes,WR,TULSA,7.9,7.9,9.6,,,6,0.01,47,0.15,,,,
Xavier Ubosi,WR,UAB,7.9,7.9,8.9,,,0,0,40,0.49,,,,
D'Wayne Eskridge,WR,WMICH,7.8,7.8,9.2,,,2,0,43,0.34,,,,
Ke'Mon Freeman,RB,SMU,7.8,7.8,8.8,,,33,0.35,15,0.09,,,,
Ole Miss,DEF,MISS,7.8,5.8,5.8,,,0,0,0,0,30.6,2.17,0.53,
Charlotte,DEF,CHARLO,7.8,5.5,5.5,,,0,0,0,0,28.6,1.38,0.8,
Kendall Parham,WR,UAB,7.8,7.8,8.9,,,5,0.25,38,0.14,,,,
Obi Obialo,WR,MRSHL,7.8,7.8,10,,,0,0,45,0.19,,,,
Kyle Fourtenbary,TE,WKY,7.8,7.8,9.6,,,0,0,36,0.42,,,,
Travon McMillian,RB,COLO,7.8,7.8,8.9,,,45,0.16,13,0.05,,,,
Jack Sorenson,WR,MIAOH,7.8,7.8,10.5,,,0,0,56,0.26,,,,
Dominique Robinson,WR,MIAOH,7.8,7.8,9.6,,,0,0,45,0.26,,,,
Jacquez Sloan,WR,WKY,7.7,7.7,9.5,,,1,0,52,0.16,,,,
Irv Smith Jr.,TE,BAMA,7.7,7.7,8.9,,,0,0,38,0.47,,,,
Bryce Singleton,WR,FIU,7.7,7.7,9.4,,,0,0,47,0.24,,,,
Arizona,DEF,ARIZ,7.7,5.1,5.1,,,0,0,0,0,34.3,2.63,0.77,
Tim Jones,WR,USM,7.7,7.7,9.4,,,-1,0,47,0.26,,,,
TCU,DEF,TCU,7.7,5.6,5.6,,,0,0,0,0,30.6,2.5,0.7,
Reggie Corbin,RB,ILL,7.7,7.7,8.5,,,47,0.25,12,0.03,,,,
Anthony McFarland,RB,MD,7.7,7.7,8.4,,,49,0.14,13,0.01,,,,
Maryland,DEF,MD,7.7,5.6,5.6,,,0,0,0,0,28.3,1.55,0.91,
Kaleb Fossum,WR,NEVADA,7.6,7.6,10.1,,,-1,0,47,0.18,,,,
Colorado,DEF,COLO,7.6,5.4,5.4,,,0,0,0,0,27.8,1.74,0.94,
UNLV,DEF,UNLV,7.6,5.2,5.2,,,0,0,0,0,30.8,0.92,0.8,
Salvon Ahmed,RB,WASH,7.6,7.6,8,,,43,0.4,5,0.02,,,,
Kelton Moore,RB,NEVADA,7.5,7.5,8.5,,,38,0.24,13,0.03,,,,
Nykeim Johnson,WR,CUSE,7.5,7.5,9.4,,,4,0.01,41,0.18,,,,
Mekhi Sargent,RB,IOWA,7.5,7.5,7.8,,,34,0.54,5,0.02,,,,
Mike Epstein,RB,ILL,7.5,7.5,8.2,,,39,0.24,15,0.01,,,,
Ta'Zhawn Henry,RB,TXTECH,7.5,7.5,8.5,,,24,0.47,12,0.03,,,,
Timmy Hernandez,WR,OREGST,7.5,7.5,9.7,,,0,0,42,0.19,,,,
Keenan Barnes,WR,LALAF,7.5,7.5,9,,,0,0,42,0.28,,,,
Vic Wharton III,WR,CAL,7.4,7.4,9.6,,,1,0,45,0.19,,,,
Keith Gavin,WR,FSU,7.4,7.4,9.2,,,0,0,49,0.17,,,,
Andrew Meyer,WR,OHIO,7.4,7.4,8.8,,,0,0,43,0.31,,,,
Texas State,DEF,TXSTSM,7.4,4.8,4.8,,,0,0,0,0,35.8,1.2,0.73,
Central Michigan,DEF,CMICH,7.4,5.1,5.1,,,0,0,0,0,30,1.61,0.81,
Toledo,DEF,TOLEDO,7.4,5.8,5.8,,,0,0,0,0,33.1,1.25,1.2,
Jacques Patrick,RB,FSU,7.4,7.4,8.4,,,40,0.17,10,0.12,,,,
Justin Hall,WR,BALLST,7.4,7.4,9.6,,,8,0.01,38,0.11,,,,
Indiana,DEF,IND,7.4,5,5,,,0,0,0,0,36.5,2.02,0.71,
Joseph Saucier,RB,AF,7.3,7.3,7.5,,,40,0.46,4,0.01,,,,
Cheyenne O'Grady,TE,ARK,7.3,7.3,8.6,,,0,0,33,0.5,,,,
Maurice Washington,RB,NEB,7.3,7.3,8.8,,,28,0.17,20,0.03,,,,
Brendan O'Leary-Orange,WR,NEVADA,7.3,7.3,8.5,,,0,0,40,0.36,,,,
Kerrith Whyte Jr.,RB,FAU,7.3,7.3,7.9,,,34,0.4,7,0.14,,,,
Mekhi Stevenson,WR,UNLV,7.3,7.3,8.9,,,0,0,48,0.19,,,,
Jordan Asberry,RB,ARMY,7.3,7.3,7.7,,,18,0.12,12,0.55,,,,
Andre Wilson,WR,UAB,7.3,7.3,8.7,,,3,0,38,0.39,,,,
New Mexico State,DEF,NMEXST,7.3,5.6,5.6,,,0,0,0,0,29.4,2.15,0.29,
Tamorrion Terry,WR,FSU,7.3,7.3,8.3,,,0,0,37,0.44,,,,
Anthony Ratliff-Williams,WR,UNC,7.3,7.3,8.5,,,3,0,42,0.31,,,,
Kahale Warring,TE,SDGST,7.3,7.3,8.6,,,0,0,34,0.42,,,,
Shawn Poindexter,WR,ARIZ,7.3,7.3,8.9,,,0,0,49,0.14,,,,
Cameron Odom,WR,OHIO,7.2,7.2,8.6,,,0,0,47,0.23,,,,
Ivory Kelly-Martin,RB,IOWA,7.2,7.2,7.6,,,40,0.31,9,0.04,,,,
Brandon Presley,WR,UNLV,7.2,7.2,9.4,,,1,0,52,0.17,,,,
Aaron Mcallister,RB,CHARLO,7.2,7.2,7.6,,,40,0.38,6,0.01,,,,
Hutch White,WR,TXSTSM,7.2,7.2,9.4,,,1,0,40,0.32,,,,
Corey Lacanaria,WR,BALLST,7.2,7.2,9.3,,,0,0,41,0.22,,,,
Emmanuel Esukpa,RB,RICE,7.2,7.2,8.1,,,46,0.23,9,0.05,,,,
Ball State,DEF,BALLST,7.2,4.9,4.9,,,0,0,0,0,31.1,2.01,0.79,
Robert Brown Jr.,RB,TXSTSM,7.2,7.2,8,,,48,0.11,10,0.03,,,,
Ahmari Davis,RB,NMEX,7.2,7.2,7.5,,,36,0.53,1,0.02,,,,
Jonathan Ward,RB,CMICH,7.2,7.2,8.4,,,33,0.19,16,0.1,,,,
Justyn Ross,WR,CLEM,7.2,7.2,8.4,,,0,0,39,0.34,,,,
Kelvin Harmon,WR,NCST,7.2,7.2,8.9,,,0,0,47,0.14,,,,
Terence Williams,RB,HOU,7.1,7.1,7.8,,,44,0.38,6,0.03,,,,
OJ Clark,WR,NMEXST,7.1,7.1,9.2,,,0,0,41,0.18,,,,
Jon Hilliman,RB,RUT,7.1,7.1,8.1,,,34,0.34,11,0.07,,,,
Javon Thomas,RB,TULSA,7.1,7.1,7.9,,,57,0.12,3,0.01,,,,
Aeris Williams,RB,MISSST,7.1,7.1,7.7,,,53,0.16,5,0.01,,,,
Austin Maloney,WR,FIU,7.1,7.1,8.3,,,0,0,40,0.32,,,,
Darrynton Evans,WR,APLST,7.1,7.1,7.7,,,42,0.16,8,0.12,,,,
Buffalo,DEF,BUFF,7.1,4.3,4.3,,,0,0,0,0,38,2.45,0.86,
Van Edwards Jr.,RB,AKRON,7.1,7.1,7.8,,,43,0.13,11,0.08,,,,
Navy,DEF,NAVY,7.1,4.4,4.4,,,0,0,0,0,36.1,1,0.69,
Marcel Williams,WR,MRSHL,7,7,8.6,,,0,0,42,0.22,,,,
Art Thompkins,RB,TOLEDO,7,7,7.7,,,34,0.27,13,0.03,,,,
Kendric Pryor,WR,WISC,7,7,7.9,,,9,0.24,26,0.22,,,,
Colorado State,DEF,COLOST,7,4.1,4.1,,,0,0,0,0,42.4,2.12,0.89,
Trent Pennix,RB,NCST,7,7,7.9,,,21,0.08,19,0.29,,,,
Charlie Jones,WR,BUFF,7,7,7.9,,,0,0,38,0.37,,,,
Tavonn Salter,WR,MTSU,7,7,8.5,,,0,0,47,0.14,,,,
Rice,DEF,RICE,7,4.2,4.2,,,0,0,0,0,38.8,1.62,0.92,
Charles Williams,RB,UNLV,7,7,7.6,,,59,0.12,1,0.02,,,,
Michael Colubiale,TE,UCF,7,7,8.1,,,0,0,41,0.29,,,,
Izaiah Lottie,WR,NMEXST,6.9,6.9,8.4,,,0,0,38,0.28,,,,
Rhashid Bonnette,WR,LATECH,6.9,6.9,8.5,,,1,0,44,0.17,,,,
Lyn-J Dixon,RB,CLEM,6.9,6.9,7.2,,,39,0.32,9,0.02,,,,
Randall St. Felix,WR,SFLA,6.9,6.9,8.9,,,0,0,48,0.21,,,,
Cade Otton,TE,WASH,6.9,6.9,8.2,,,0,0,36,0.35,,,,
Nate Stewart,WR,AKRON,6.9,6.9,8.9,,,0,0,40,0.33,,,,
Hasise Dubois,WR,UVA,6.9,6.9,8.8,,,0,0,44,0.13,,,,
Chase Cota,WR,UCLA,6.9,6.9,8.8,,,0,0,48,0.22,,,,
Bryce Williams,RB,MINN,6.9,6.9,7.4,,,54,0.14,6,0.01,,,,
Johnathan Boone,WR,NMEXST,6.9,6.9,8.3,,,-1,0,45,0.19,,,,
Wesley Kennedy III,WR,GAS,6.8,6.8,7.5,,,19,0.16,27,0.11,,,,
Bowling Green,DEF,BGREEN,6.8,3.8,3.8,,,0,0,0,0,47.6,0.8,0.78,
Bilal Ally,RB,MA,6.8,6.8,7.2,,,30,0.33,5,0.26,,,,
Anthony Schwartz,WR,AUBURN,6.8,6.8,7.4,,,20,0.25,19,0.16,,,,
Kendal Keys,WR,UNLV,6.8,6.8,8,,,0,0,37,0.32,,,,
Jonathan Nance,WR,ARK,6.8,6.8,7.9,,,2,0,35,0.34,,,,
Rashod Bateman,WR,MINN,6.8,6.8,8.4,,,0,0,32,0.34,,,,
Kaden Smith,TE,STNFRD,6.8,6.8,8.4,,,0,0,44,0.15,,,,
Delane Hart-Johnson,WR,NMEX,6.8,6.8,8,,,0,0,33,0.4,,,,
Quin Jernighan,WR,WKY,6.8,6.8,8.5,,,0,0,40,0.18,,,,
Ky'Jon Tyler,WR,CSTCAR,6.8,6.8,8.2,,,2,0,40,0.27,,,,
Harrison Bryant,TE,FAU,6.7,6.7,8,,,0,0,37,0.32,,,,
Brittain Brown,RB,DUKE,6.7,6.7,7.1,,,48,0.23,4,0.02,,,,
Jalen Rhodes,RB,TXSA,6.7,6.7,7.5,,,37,0.26,8,0.04,,,,
Aaron McLean,WR,UCONN,6.7,6.7,8.3,,,0,0,43,0.16,,,,
Jaelon Darden,WR,NTEXAS,6.7,6.7,8.3,,,0,0,41,0.25,,,,
Vavae Malepeai,RB,USC,6.7,6.7,7.1,,,27,0.55,4,0.01,,,,
Kasim Hill,QB,MD,6.7,6.7,7.5,135,0.98,-1,0.02,0,0,,,,
Parker Houston,TE,SDGST,6.7,6.7,7.7,,,0,0,23,0.56,,,,
Stephen Carr,RB,USC,6.7,6.7,7.6,,,47,0.12,7,0.01,,,,
Lala Davis,RB,ODU,6.7,6.7,6.9,,,36,0.41,4,0.02,,,,
Ryan Davis,WR,AUBURN,6.7,6.7,8.8,,,2,0,39,0.15,,,,
Ty Chandler,RB,TENN,6.7,6.7,7.4,,,30,0.1,14,0.19,,,,
Zavier Scott,WR,UCONN,6.6,6.6,8.4,,,21,0.04,24,0.13,,,,
Purdue,DEF,PURDUE,6.6,3.9,3.9,,,0,0,0,0,38.3,2.44,0.8,
Gary Brightwell,RB,ARIZ,6.6,6.6,6.9,,,42,0.33,4,0.02,,,,
Mathew Sexton,WR,EMICH,6.6,6.6,7.9,,,0,0,39,0.22,,,,
Ty Jones,WR,WASH,6.6,6.6,7.5,,,0,0,32,0.41,,,,
Romello Brooker,TE,HOU,6.6,6.6,7.9,,,0,0,33,0.33,,,,
Kell Walker,RB,ARMY,6.6,6.6,7.2,,,39,0.12,18,0.01,,,,
Missouri,DEF,MIZZOU,6.6,4.2,4.2,,,0,0,0,0,37.4,1.76,0.71,
Terry McLaurin,WR,OHIOST,6.5,6.5,7.4,,,0,0,32,0.41,,,,
Jarrett Guarantano,QB,TENN,6.5,6.5,6.8,136,0.7,-2,0.02,0,0,,,,
Texas-El Paso,DEF,UTEP,6.5,3.7,3.7,,,0,0,0,0,40.7,1.64,0.7,
DeAndre McNeal,WR,FAU,6.5,6.5,7.7,,,0,0,35,0.3,,,,
Illinois,DEF,ILL,6.5,3.8,3.8,,,0,0,0,0,35.5,1.23,1,
Blake Proehl,WR,ECU,6.5,6.5,8.3,,,0,0,41,0.11,,,,
Jonathan Adams Jr.,WR,ARKST,6.5,6.5,7.6,,,0,0,32,0.37,,,,
Tee Higgins,WR,CLEM,6.5,6.5,7.6,,,0,0,36,0.3,,,,
Trivenskey Mosley,RB,USM,6.5,6.5,9.5,,,60,0.19,4,0.03,,,,
Connor Slomka,RB,ARMY,6.4,6.4,6.5,,,36,0.45,1,0.01,,,,
Jaivon Heiligh,WR,CSTCAR,6.4,6.4,7.4,,,3,0,25,0.47,,,,
Chris Evans,RB,MICH,6.4,6.4,7.1,,,30,0.29,10,0.02,,,,
Michael Pittman Jr.,WR,USC,6.4,6.4,7.5,,,1,0,37,0.26,,,,
Bobby Holly,RB,LATECH,6.4,6.4,7,,,9,0.09,2,0.72,,,,
Marlon Williams,WR,UCF,6.4,6.4,7.6,,,1,0,36,0.24,,,,
Warren Jackson,WR,COLOST,6.4,6.4,8.1,,,0,0,39,0.3,,,,
Monteo Garrett,RB,GAS,6.4,6.4,6.6,,,41,0.34,1,0.01,,,,
Johnathan Lloyd,WR,DUKE,6.4,6.4,7.9,,,0,0,32,0.27,,,,
Alonzo Smith,RB,MIAOH,6.4,6.4,7,,,40,0.16,9,0.03,,,,
Reggie Gallaspy II,RB,NCST,6.4,6.4,7.2,,,23,0.46,6,0.04,,,,
Josh Love,QB,SJST,6.4,6.4,7,181,0.59,-1,0.01,0,0,,,,
Noah Togiai,TE,OREGST,6.4,6.4,7.6,,,0,0,31,0.35,,,,
Taivon Jacobs,WR,MD,6.4,6.4,7.8,,,3,0.01,30,0.26,,,,
Jo-el Shaw,RB,KENTST,6.4,6.4,7,,,27,0.08,11,0.28,,,,
Adam Choice,RB,CLEM,6.3,6.3,6.7,,,42,0.3,3,0.02,,,,
Darius Slayton,WR,AUBURN,6.3,6.3,7.5,,,0,0,40,0.22,,,,
Nick Westbrook,WR,IND,6.3,6.3,7.9,,,0,0.02,34,0.22,,,,
Preston Williams,WR,TENN,6.3,6.3,8,,,1,0,35,0.2,,,,
Garrett Groshek,RB,WISC,6.3,6.3,7.2,,,25,0.11,17,0.16,,,,
Elijah Cooks,WR,NEVADA,6.3,6.3,7.3,,,0,0,33,0.34,,,,
Jaylen Waddle,WR,BAMA,6.3,6.3,7.4,,,0,0,39,0.22,,,,
CT Thomas,WR,BOISE,6.3,6.3,7.5,,,0,0,35,0.26,,,,
Maurice Ways,WR,CAL,6.3,6.3,7.8,,,0,0,39,0.15,,,,
Markell Jones,RB,PURDUE,6.3,6.3,7.2,,,39,0.16,8,0.07,,,,
Ryheem Malone,WR,LALAF,6.3,6.3,8.1,,,2,0,34,0.15,,,,
Trenton Irwin,WR,STNFRD,6.3,6.3,8.2,,,0,0,37,0.17,,,,
Anthony Scott,RB,ECU,6.2,6.2,7.3,,,28,0.19,14,0.07,,,,
Malik Dunner,RB,BALLST,6.2,6.2,7,,,23,0.22,13,0.11,,,,
Ventell Bryant,WR,TEMPLE,6.2,6.2,7.8,,,0,0,40,0.13,,,,
Tahj Deans,WR,ECU,6.2,6.2,7.7,,,0,0,33,0.24,,,,
Kerr Johnson Jr.,WR,KANSAS,6.2,6.2,7.9,,,0,0,36,0.16,,,,
Matt Colburn,RB,WAKE,6.2,6.2,6.6,,,38,0.3,5,0.01,,,,
Jeremiah Booker,WR,KANSAS,6.2,6.2,7.4,,,0,0,29,0.35,,,,
Seth Paige,RB,GAST,6.2,6.2,6.7,,,34,0.33,8,0.01,,,,
Josh Oliver,TE,SJST,6.1,6.1,7.9,,,0,0,36,0.14,,,,
Marcus Armstrong-Brown,WR,HAWAII,6.1,6.1,7.9,,,0,0,34,0.18,,,,
Kenny Gainwell,RB,MEMP,6.1,6.1,7.1,,,13,0.3,19,0.02,,,,
Tavien Feaster,RB,CLEM,6.1,6.1,6.5,,,34,0.3,6,0.02,,,,
Travis Dye,RB,OREG,6.1,6.1,6.8,,,51,0.12,3,0.02,,,,
Jager Gardner,RB,TEMPLE,6.1,6.1,6.5,,,35,0.14,12,0.02,,,,
Danny Davis,WR,WISC,6,6,7.1,,,2,0,28,0.33,,,,
Binjimen Victor,WR,OHIOST,6,6,6.9,,,0,0,30,0.38,,,,
Sterling Palmer,TE,FIU,6,6,7.5,,,0,0,29,0.28,,,,
Juwan Johnson,WR,PSU,6,6,7.4,,,0,0,37,0.16,,,,
Kahlil Lewis,WR,CINCY,6,6,7.7,,,2,0,26,0.27,,,,
Taiwan Deal,RB,WISC,6,6,6.2,,,33,0.37,3,0.02,,,,
Maurice Alexander,WR,FIU,6,6,7.2,,,10,0.03,26,0.31,,,,
Asim Rose,RB,UK,6,6,6.2,,,35,0.39,1,0.01,,,,
Romeo Doubs,WR,NEVADA,6,6,7.5,,,0,0,38,0.12,,,,
Jah'Marae Sheread,WR,TXSTSM,6,6,7.2,,,3,0.01,37,0.11,,,,
Kazmeir Allen,RB,UCLA,6,6,6.6,,,32,0.26,6,0.02,,,,
John Bates,TE,BOISE,6,6,6.8,,,0,0,31,0.34,,,,
Renard Bell,WR,WASHST,6,6,7.2,,,0,0,35,0.23,,,,
Devon Spalding,RB,CMICH,6,6,7.2,,,19,0.21,21,0.03,,,,
Kam Martin,RB,AUBURN,6,6,6.6,,,39,0.09,9,0.03,,,,
Greg Campbell Jr.,WR,TXSA,5.9,5.9,7.6,,,4,0.01,35,0.12,,,,
Drew Dan,WR,NMEXST,5.9,5.9,6.9,,,0,0,33,0.28,,,,
Tayon Fleet-Davis,RB,MD,5.9,5.9,6.3,,,28,0.2,8,0.14,,,,
Donnie Lee,RB,UAB,5.9,5.9,6.6,,,24,0.26,10,0.08,,,,
Khalil Herbert,RB,KANSAS,5.9,5.9,6.3,,,35,0.28,4,0.02,,,,
Jeremiah Miller,WR,CSTCAR,5.9,5.9,7.1,,,0,0,38,0.16,,,,
Jessie Britt,WR,MA,5.9,5.9,7,,,1,0,28,0.33,,,,
La'Michael Pettway,WR,ARK,5.9,5.9,6.7,,,0,0,30,0.33,,,,
Cyrus Habibi-Likio,RB,OREG,5.8,5.8,6.1,,,8,0.76,3,0.02,,,,
Isaac Zico,WR,PURDUE,5.8,5.8,7.5,,,0,0,42,0.2,,,,
Aaron Young,WR,DUKE,5.8,5.8,7,,,0,0,32,0.26,,,,
Kyle Buss,WR,UCONN,5.8,5.8,7.5,,,0,0,39,0.13,,,,
Isaiah Harper,WR,ODU,5.8,5.8,7.6,,,3,0,31,0.12,,,,
Ricky Slade,RB,PSU,5.8,5.8,6.5,,,30,0.51,4,0.02,,,,
Nolan Eriksen,RB,AF,5.8,5.8,6,,,35,0.32,3,0.01,,,,
Royce Caldwell,WR,NMEXST,5.8,5.8,6.8,,,18,0.03,22,0.2,,,,
East Carolina,DEF,ECU,5.8,2.6,2.6,,,0,0,0,0,50.5,2.37,0.65,
Ja'Marcus Bradley,WR,LALAF,5.8,5.8,6.9,,,1,0,32,0.23,,,,
Dax Raymond,TE,UTAHST,5.8,5.8,7.2,,,0,0,34,0.18,,,,
Jaylon Redd,WR,OREG,5.8,5.8,6.6,,,5,0.03,25,0.31,,,,
