player,position,team,upper,lower,points,rrqaw,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk
Kalija Lipscomb,WR,VANDY,13.3,13.3,17.3,,,4,0,69,0.5,,,,
Seth Boomer,QB,TULSA,13.3,13.3,14.2,204,1.19,20,0.08,0,0,,,,
Adrian Killins Jr.,RB,UCF,13.3,13.3,14.4,,,50,0.49,34,0.22,,,,
Sam Hartman,QB,WAKE,13.3,13.3,13.8,191,1.23,17,0.09,0,0,,,,
CJ Verdell,RB,OREG,13.2,13.2,15.3,,,82,0.37,18,0.09,,,,
Michigan,DEF,MICH,13.2,11.8,11.8,,,0,0,0,0,18.1,3.57,1.49,
Marquise Brown,WR,OKLA,13.2,13.2,16.1,,,0,0,78,0.57,,,,
Tyre McCants,WR,SFLA,13.1,13.1,16.1,,,5,0.01,70,0.54,,,,
Georgia Southern,DEF,GAS,13.1,11,11,,,0,0,0,0,26.7,2.46,2.32,
Quez Watkins,WR,USM,13,13,15.9,,,1,0,65,0.72,,,,
Miles Sanders,RB,PSU,13,13,14.7,,,76,0.57,10,0.12,,,,
Florida International,DEF,FIU,13,11.7,11.7,,,0,0,0,0,15.2,1.93,1.48,
Easop Winston,WR,WASHST,12.9,12.9,15.8,,,0,0,68,0.64,,,,
Jonathan Duhart,WR,ODU,12.9,12.9,16.2,,,0,0,74,0.55,,,,
Brian Lewerke,QB,MICHST,12.9,12.9,13.5,191,1.1,16,0.22,0,0,,,,
Mohamed Ibrahim,RB,MINN,12.9,12.9,15.1,,,98,0.38,1,0.07,,,,
Jordan Byrd,RB,SDGST,12.8,12.8,13.6,,,66,0.95,3,0.02,,,,
Christian Gibson,RB,NMEXST,12.8,12.8,13.9,,,74,0.82,2,0.02,,,,
Shamari Brooks,RB,TULSA,12.8,12.8,14,,,66,0.76,10,0.06,,,,
James Williams,RB,WASHST,12.8,12.8,15.3,,,34,0.32,36,0.29,,,,
Louisiana-Monroe,DEF,LAMON,12.8,11.6,11.6,,,0,0,0,0,21.1,3.33,1.42,
Jason Huntley,RB,NMEXST,12.8,12.8,14.6,,,50,0.23,38,0.23,,,,
Michael Warren II,RB,CINCY,12.8,12.8,14.5,,,76,0.57,10,0.05,,,,
Izzy Matthews,RB,COLOST,12.8,12.8,14.8,,,55,0.4,26,0.16,,,,
Cody Thompson,WR,TOLEDO,12.8,12.8,15.1,,,0,0,64,0.77,,,,
