Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,A.J. Derby (11430660),A.J. Derby,11430660,TE/FLEX,2500,CHI@MIA 10/14/2018 01:00PM ET,MIA,3.83
TE,Daniel Brown (11430713),Daniel Brown,11430713,TE/FLEX,2500,CHI@MIA 10/14/2018 01:00PM ET,CHI,0
TE,Nick O'Leary (11430764),Nick O'Leary,11430764,TE/FLEX,2500,CHI@MIA 10/14/2018 01:00PM ET,MIA,0
TE,Ben Braunecker (11430812),Ben Braunecker,11430812,TE/FLEX,2500,CHI@MIA 10/14/2018 01:00PM ET,CHI,0
TE,Durham Smythe (11430909),Durham Smythe,11430909,TE/FLEX,2500,CHI@MIA 10/14/2018 01:00PM ET,MIA,0
TE,Adam Shaheen (11431034),Adam Shaheen,11431034,TE/FLEX,2500,CHI@MIA 10/14/2018 01:00PM ET,CHI,0
DST,Redskins  (11430482),Redskins ,11430482,DST,2400,CAR@WAS 10/14/2018 01:00PM ET,WAS,6.25
DST,Bengals  (11430470),Bengals ,11430470,DST,2400,PIT@CIN 10/14/2018 01:00PM ET,CIN,8.6
DST,Steelers  (11430478),Steelers ,11430478,DST,2300,PIT@CIN 10/14/2018 01:00PM ET,PIT,10
DST,Bills  (11430467),Bills ,11430467,DST,2200,BUF@HOU 10/14/2018 01:00PM ET,BUF,7.2
DST,Falcons  (11430466),Falcons ,11430466,DST,2100,TB@ATL 10/14/2018 01:00PM ET,ATL,1.8
DST,Raiders  (11430473),Raiders ,11430473,DST,2100,SEA@OAK 10/14/2018 01:00PM ET,OAK,3.6
DST,Buccaneers  (11430481),Buccaneers ,11430481,DST,2000,TB@ATL 10/14/2018 01:00PM ET,TB,4
DST,Cardinals  (11430477),Cardinals ,11430477,DST,2000,ARI@MIN 10/14/2018 01:00PM ET,ARI,8
