lineup_num,points_avg,points_ceil,points_floor,name,salary,position,team,opposing_team,median_value,upper_value,lower_value,median,upper,lower,salary_remaining
1,108.42833930319185,130.42598251530697,84.85511941396824,Ravens,2800,DST,BAL,CLE,4.001415247549893,4.356743698986929,2.7500000000000004,11.2039626931397,12.1988823571634,7.7,3000
1,108.42833930319185,130.42598251530697,84.85511941396824,Cam Newton,6400,QB,CAR,NYG,3.3750720061727026,3.610189963584406,3.1472320831496248,21.6004608395053,23.1052157669402,20.1422853321576,3000
1,108.42833930319185,130.42598251530697,84.85511941396824,T.J. Yeldon,5600,RB,JAC,,2.455947760256161,3.014999621747714,1.7964285714285717,13.7533074574345,16.8839978817872,10.06,3000
1,108.42833930319185,130.42598251530697,84.85511941396824,Kareem Hunt,5800,RB,KC,JAX,2.3643112148789482,2.7925713399485175,1.9258620689655173,13.7130050462979,16.1969137717014,11.17,3000
1,108.42833930319185,130.42598251530697,84.85511941396824,Kerryon Johnson,4600,RB,DET,GB,2.186214890644044,2.649816386049544,1.7331392062640045,10.0565884969626,12.1891553758279,7.97244034881442,3000
1,108.42833930319185,130.42598251530697,84.85511941396824,Jimmy Graham,4700,TE,GB,DET,1.8085263037768382,2.385663372792489,1.057446808510638,8.50007362775114,11.2126178521247,4.97,3000
1,108.42833930319185,130.42598251530697,84.85511941396824,Tyler Boyd,5700,WR,CIN,MIA,1.792469326523912,2.3190448806588773,1.407017543859649,10.2170751611863,13.2185558197556,8.02,3000
1,108.42833930319185,130.42598251530697,84.85511941396824,John Brown,5600,WR,BAL,CLE,1.7333675778166109,2.303539138944286,1.3517857142857144,9.70685843577302,12.899819178088,7.57,3000
1,108.42833930319185,130.42598251530697,84.85511941396824,Calvin Ridley,5800,WR,ATL,PIT,1.6684495767485155,2.1587628468825173,1.2500678849993467,9.67700754514139,12.5208245119186,7.25039373299621,3000
2,108.10133775393014,129.8801464555005,84.16170512825396,Ravens,2800,DST,BAL,CLE,4.001415247549893,4.356743698986929,2.7500000000000004,11.2039626931397,12.1988823571634,7.7,3200
2,108.10133775393014,129.8801464555005,84.16170512825396,Cam Newton,6400,QB,CAR,NYG,3.3750720061727026,3.610189963584406,3.1472320831496248,21.6004608395053,23.1052157669402,20.1422853321576,3200
2,108.10133775393014,129.8801464555005,84.16170512825396,T.J. Yeldon,5600,RB,JAC,,2.455947760256161,3.014999621747714,1.7964285714285717,13.7533074574345,16.8839978817872,10.06,3200
2,108.10133775393014,129.8801464555005,84.16170512825396,Kareem Hunt,5800,RB,KC,JAX,2.3643112148789482,2.7925713399485175,1.9258620689655173,13.7130050462979,16.1969137717014,11.17,3200
2,108.10133775393014,129.8801464555005,84.16170512825396,Derrick Henry,4400,RB,TEN,BUF,2.211269760841111,2.6462089354594087,1.6543241052500317,9.72958694770089,11.6433193160214,7.27902606310014,3200
2,108.10133775393014,129.8801464555005,84.16170512825396,Jimmy Graham,4700,TE,GB,DET,1.8085263037768382,2.385663372792489,1.057446808510638,8.50007362775114,11.2126178521247,4.97,3200
2,108.10133775393014,129.8801464555005,84.16170512825396,Tyler Boyd,5700,WR,CIN,MIA,1.792469326523912,2.3190448806588773,1.407017543859649,10.2170751611863,13.2185558197556,8.02,3200
2,108.10133775393014,129.8801464555005,84.16170512825396,John Brown,5600,WR,BAL,CLE,1.7333675778166109,2.303539138944286,1.3517857142857144,9.70685843577302,12.899819178088,7.57,3200
2,108.10133775393014,129.8801464555005,84.16170512825396,Calvin Ridley,5800,WR,ATL,PIT,1.6684495767485155,2.1587628468825173,1.2500678849993467,9.67700754514139,12.5208245119186,7.25039373299621,3200
3,108.40309759243344,129.81763272261938,82.9815122711111,Ravens,2800,DST,BAL,CLE,4.001415247549893,4.356743698986929,2.7500000000000004,11.2039626931397,12.1988823571634,7.7,3300
3,108.40309759243344,129.81763272261938,82.9815122711111,Cam Newton,6400,QB,CAR,NYG,3.3750720061727026,3.610189963584406,3.1472320831496248,21.6004608395053,23.1052157669402,20.1422853321576,3300
3,108.40309759243344,129.81763272261938,82.9815122711111,T.J. Yeldon,5600,RB,JAC,,2.455947760256161,3.014999621747714,1.7964285714285717,13.7533074574345,16.8839978817872,10.06,3300
3,108.40309759243344,129.81763272261938,82.9815122711111,Kareem Hunt,5800,RB,KC,JAX,2.3643112148789482,2.7925713399485175,1.9258620689655173,13.7130050462979,16.1969137717014,11.17,3300
